iter,fitness,time,XPL,XPT,DIV
0,76723.06170273834,0.005,100.0,0.0,49.086
1,76723.06170273834,0.004,100.0,0.0,49.086
2,76723.06170273834,0.004,100.0,0.0,49.086
3,76723.06170273834,0.004,100.0,0.0,49.086
4,76723.06170273834,0.005,100.0,0.0,49.086
5,76723.06170273834,0.004,100.0,0.0,49.086
6,76723.06170273834,0.005,100.0,0.0,49.086
7,76723.06170273834,0.004,100.0,0.0,49.086
8,76723.06170273834,0.004,100.0,0.0,49.086
9,76723.06170273834,0.004,100.0,0.0,49.086
10,76723.06170273834,0.004,100.0,0.0,49.086
11,76723.06170273834,0.004,100.0,0.0,49.086
12,76723.06170273834,0.004,100.0,0.0,49.086
13,76723.06170273834,0.004,100.0,0.0,49.086
14,76723.06170273834,0.004,100.0,0.0,49.086
15,76723.06170273834,0.004,100.0,0.0,49.086
16,76723.06170273834,0.004,100.0,0.0,49.086
17,76723.06170273834,0.004,100.0,0.0,49.086
18,76723.06170273834,0.004,100.0,0.0,49.086
19,76723.06170273834,0.004,100.0,0.0,49.086
20,76723.06170273834,0.004,100.0,0.0,49.086
21,76723.06170273834,0.004,100.0,0.0,49.086
22,76723.06170273834,0.004,100.0,0.0,49.086
23,76723.06170273834,0.004,100.0,0.0,49.086
24,76723.06170273834,0.004,100.0,0.0,49.086
25,76723.06170273834,0.004,100.0,0.0,49.086
26,76723.06170273834,0.004,100.0,0.0,49.086
27,76723.06170273834,0.004,100.0,0.0,49.086
28,76723.06170273834,0.004,100.0,0.0,49.086
29,76723.06170273834,0.004,100.0,0.0,49.086
30,76723.06170273834,0.004,100.0,0.0,49.086
31,76723.06170273834,0.004,100.0,0.0,49.086
32,76723.06170273834,0.004,100.0,0.0,49.086
33,76723.06170273834,0.004,100.0,0.0,49.086
34,76723.06170273834,0.004,100.0,0.0,49.086
35,76723.06170273834,0.004,100.0,0.0,49.086
36,76723.06170273834,0.004,100.0,0.0,49.086
37,76723.06170273834,0.004,100.0,0.0,49.086
38,76723.06170273834,0.004,100.0,0.0,49.086
39,76723.06170273834,0.005,100.0,0.0,49.086
40,76723.06170273834,0.004,100.0,0.0,49.086
41,76723.06170273834,0.004,100.0,0.0,49.086
42,76723.06170273834,0.005,100.0,0.0,49.086
43,76723.06170273834,0.004,100.0,0.0,49.086
44,76723.06170273834,0.004,100.0,0.0,49.086
45,76723.06170273834,0.004,100.0,0.0,49.086
46,76723.06170273834,0.004,100.0,0.0,49.086
47,76723.06170273834,0.005,100.0,0.0,49.086
48,76723.06170273834,0.004,100.0,0.0,49.086
49,76723.06170273834,0.004,100.0,0.0,49.086
50,76723.06170273834,0.004,100.0,0.0,49.086
51,76723.06170273834,0.004,100.0,0.0,49.086
52,76723.06170273834,0.004,100.0,0.0,49.086
53,76723.06170273834,0.004,100.0,0.0,49.086
54,76723.06170273834,0.004,100.0,0.0,49.086
55,76723.06170273834,0.004,100.0,0.0,49.086
56,76723.06170273834,0.004,100.0,0.0,49.086
57,76723.06170273834,0.004,100.0,0.0,49.086
58,76723.06170273834,0.004,100.0,0.0,49.086
59,76723.06170273834,0.005,100.0,0.0,49.086
60,76723.06170273834,0.004,100.0,0.0,49.086
61,76723.06170273834,0.005,100.0,0.0,49.086
62,76723.06170273834,0.005,100.0,0.0,49.086
63,76723.06170273834,0.004,100.0,0.0,49.086
64,76723.06170273834,0.004,100.0,0.0,49.086
65,76723.06170273834,0.004,100.0,0.0,49.086
66,76723.06170273834,0.004,100.0,0.0,49.086
67,76723.06170273834,0.004,100.0,0.0,49.086
68,76723.06170273834,0.004,100.0,0.0,49.086
69,76723.06170273834,0.004,100.0,0.0,49.086
70,76723.06170273834,0.005,100.0,0.0,49.086
71,76723.06170273834,0.004,100.0,0.0,49.086
72,76723.06170273834,0.004,100.0,0.0,49.086
73,76723.06170273834,0.004,100.0,0.0,49.086
74,76723.06170273834,0.005,100.0,0.0,49.086
75,76723.06170273834,0.004,100.0,0.0,49.086
76,76723.06170273834,0.004,100.0,0.0,49.086
77,76723.06170273834,0.004,100.0,0.0,49.086
78,76723.06170273834,0.004,100.0,0.0,49.086
79,76723.06170273834,0.005,100.0,0.0,49.086
80,76723.06170273834,0.005,100.0,0.0,49.086
81,76723.06170273834,0.004,100.0,0.0,49.086
82,76723.06170273834,0.005,100.0,0.0,49.086
83,76723.06170273834,0.004,100.0,0.0,49.086
84,76723.06170273834,0.005,100.0,0.0,49.086
85,76723.06170273834,0.004,100.0,0.0,49.086
86,76723.06170273834,0.004,100.0,0.0,49.086
87,76723.06170273834,0.004,100.0,0.0,49.086
88,76723.06170273834,0.004,100.0,0.0,49.086
89,76723.06170273834,0.004,100.0,0.0,49.086
90,76723.06170273834,0.005,100.0,0.0,49.086
91,76723.06170273834,0.005,100.0,0.0,49.086
92,76723.06170273834,0.005,100.0,0.0,49.086
93,76723.06170273834,0.004,100.0,0.0,49.086
94,76723.06170273834,0.004,100.0,0.0,49.086
95,76723.06170273834,0.004,100.0,0.0,49.086
96,76723.06170273834,0.005,100.0,0.0,49.086
97,76723.06170273834,0.004,100.0,0.0,49.086
98,76723.06170273834,0.005,100.0,0.0,49.086
99,76723.06170273834,0.005,100.0,0.0,49.086
100,76723.06170273834,0.004,100.0,0.0,49.086
101,76723.06170273834,0.005,100.0,0.0,49.086
102,76723.06170273834,0.004,100.0,0.0,49.086
103,76723.06170273834,0.004,100.0,0.0,49.086
104,76723.06170273834,0.004,100.0,0.0,49.086
105,76723.06170273834,0.004,100.0,0.0,49.086
106,76723.06170273834,0.004,100.0,0.0,49.086
107,76723.06170273834,0.004,100.0,0.0,49.086
108,76723.06170273834,0.005,100.0,0.0,49.086
109,76723.06170273834,0.004,100.0,0.0,49.086
110,76723.06170273834,0.004,100.0,0.0,49.086
111,76723.06170273834,0.004,100.0,0.0,49.086
112,76723.06170273834,0.004,100.0,0.0,49.086
113,76723.06170273834,0.004,100.0,0.0,49.086
114,76723.06170273834,0.004,100.0,0.0,49.086
115,76723.06170273834,0.004,100.0,0.0,49.086
116,76723.06170273834,0.004,100.0,0.0,49.086
117,76723.06170273834,0.005,100.0,0.0,49.086
118,76723.06170273834,0.004,100.0,0.0,49.086
119,76723.06170273834,0.004,100.0,0.0,49.086
120,76723.06170273834,0.004,100.0,0.0,49.086
121,76723.06170273834,0.005,100.0,0.0,49.086
122,76723.06170273834,0.004,100.0,0.0,49.086
123,76723.06170273834,0.004,100.0,0.0,49.086
124,76723.06170273834,0.004,100.0,0.0,49.086
125,76723.06170273834,0.004,100.0,0.0,49.086
126,76723.06170273834,0.004,100.0,0.0,49.086
127,76723.06170273834,0.005,100.0,0.0,49.086
128,76723.06170273834,0.004,100.0,0.0,49.086
129,76723.06170273834,0.005,100.0,0.0,49.086
130,76723.06170273834,0.004,100.0,0.0,49.086
131,76723.06170273834,0.004,100.0,0.0,49.086
132,76723.06170273834,0.005,100.0,0.0,49.086
133,76723.06170273834,0.004,100.0,0.0,49.086
134,76723.06170273834,0.004,100.0,0.0,49.086
135,76723.06170273834,0.004,100.0,0.0,49.086
136,76723.06170273834,0.005,100.0,0.0,49.086
137,76723.06170273834,0.005,100.0,0.0,49.086
138,76723.06170273834,0.005,100.0,0.0,49.086
139,76723.06170273834,0.004,100.0,0.0,49.086
140,76723.06170273834,0.004,100.0,0.0,49.086
141,76723.06170273834,0.004,100.0,0.0,49.086
142,76723.06170273834,0.005,100.0,0.0,49.086
143,76723.06170273834,0.005,100.0,0.0,49.086
144,76723.06170273834,0.004,100.0,0.0,49.086
145,76723.06170273834,0.004,100.0,0.0,49.086
146,76723.06170273834,0.004,100.0,0.0,49.086
147,76723.06170273834,0.004,100.0,0.0,49.086
148,76723.06170273834,0.004,100.0,0.0,49.086
149,76723.06170273834,0.004,100.0,0.0,49.086
150,76723.06170273834,0.004,100.0,0.0,49.086
151,76723.06170273834,0.005,100.0,0.0,49.086
152,76723.06170273834,0.005,100.0,0.0,49.086
153,76723.06170273834,0.004,100.0,0.0,49.086
154,76723.06170273834,0.004,100.0,0.0,49.086
155,76723.06170273834,0.004,100.0,0.0,49.086
156,76723.06170273834,0.005,100.0,0.0,49.086
157,76723.06170273834,0.004,100.0,0.0,49.086
158,76723.06170273834,0.004,100.0,0.0,49.086
159,76723.06170273834,0.004,100.0,0.0,49.086
160,76723.06170273834,0.005,100.0,0.0,49.086
161,76723.06170273834,0.004,100.0,0.0,49.086
162,76723.06170273834,0.004,100.0,0.0,49.086
163,76723.06170273834,0.004,100.0,0.0,49.086
164,76723.06170273834,0.004,100.0,0.0,49.086
165,76723.06170273834,0.004,100.0,0.0,49.086
166,76723.06170273834,0.004,100.0,0.0,49.086
167,76723.06170273834,0.005,100.0,0.0,49.086
168,76723.06170273834,0.004,100.0,0.0,49.086
169,76723.06170273834,0.005,100.0,0.0,49.086
170,76723.06170273834,0.004,100.0,0.0,49.086
171,76723.06170273834,0.004,100.0,0.0,49.086
172,76723.06170273834,0.004,100.0,0.0,49.086
173,76723.06170273834,0.004,100.0,0.0,49.086
174,76723.06170273834,0.005,100.0,0.0,49.086
175,76723.06170273834,0.004,100.0,0.0,49.086
176,76723.06170273834,0.004,100.0,0.0,49.086
177,76723.06170273834,0.004,100.0,0.0,49.086
178,76723.06170273834,0.005,100.0,0.0,49.086
179,76723.06170273834,0.004,100.0,0.0,49.086
180,76723.06170273834,0.004,100.0,0.0,49.086
181,76723.06170273834,0.004,100.0,0.0,49.086
182,76723.06170273834,0.005,100.0,0.0,49.086
183,76723.06170273834,0.004,100.0,0.0,49.086
184,76723.06170273834,0.004,100.0,0.0,49.086
185,76723.06170273834,0.005,100.0,0.0,49.086
186,76723.06170273834,0.004,100.0,0.0,49.086
187,76723.06170273834,0.004,100.0,0.0,49.086
188,76723.06170273834,0.004,100.0,0.0,49.086
189,76723.06170273834,0.004,100.0,0.0,49.086
190,76723.06170273834,0.005,100.0,0.0,49.086
191,76723.06170273834,0.004,100.0,0.0,49.086
192,76723.06170273834,0.005,100.0,0.0,49.086
193,76723.06170273834,0.004,100.0,0.0,49.086
194,76723.06170273834,0.005,100.0,0.0,49.086
195,76723.06170273834,0.004,100.0,0.0,49.086
196,76723.06170273834,0.004,100.0,0.0,49.086
197,76723.06170273834,0.005,100.0,0.0,49.086
198,76723.06170273834,0.004,100.0,0.0,49.086
199,76723.06170273834,0.004,100.0,0.0,49.086
200,76723.06170273834,0.005,100.0,0.0,49.086
201,76723.06170273834,0.004,100.0,0.0,49.086
202,76723.06170273834,0.004,100.0,0.0,49.086
203,76723.06170273834,0.005,100.0,0.0,49.086
204,76723.06170273834,0.004,100.0,0.0,49.086
205,76723.06170273834,0.005,100.0,0.0,49.086
206,76723.06170273834,0.005,100.0,0.0,49.086
207,76723.06170273834,0.004,100.0,0.0,49.086
208,76723.06170273834,0.004,100.0,0.0,49.086
209,76723.06170273834,0.004,100.0,0.0,49.086
210,76723.06170273834,0.004,100.0,0.0,49.086
211,76723.06170273834,0.004,100.0,0.0,49.086
212,76723.06170273834,0.004,100.0,0.0,49.086
213,76723.06170273834,0.005,100.0,0.0,49.086
214,76723.06170273834,0.005,100.0,0.0,49.086
215,76723.06170273834,0.004,100.0,0.0,49.086
216,76723.06170273834,0.004,100.0,0.0,49.086
217,76723.06170273834,0.004,100.0,0.0,49.086
218,76723.06170273834,0.004,100.0,0.0,49.086
219,76723.06170273834,0.004,100.0,0.0,49.086
220,76723.06170273834,0.004,100.0,0.0,49.086
221,76723.06170273834,0.005,100.0,0.0,49.086
222,76723.06170273834,0.005,100.0,0.0,49.086
223,76723.06170273834,0.004,100.0,0.0,49.086
224,76723.06170273834,0.004,100.0,0.0,49.086
225,76723.06170273834,0.004,100.0,0.0,49.086
226,76723.06170273834,0.005,100.0,0.0,49.086
227,76723.06170273834,0.004,100.0,0.0,49.086
228,76723.06170273834,0.004,100.0,0.0,49.086
229,76723.06170273834,0.004,100.0,0.0,49.086
230,76723.06170273834,0.004,100.0,0.0,49.086
231,76723.06170273834,0.004,100.0,0.0,49.086
232,76723.06170273834,0.004,100.0,0.0,49.086
233,76723.06170273834,0.005,100.0,0.0,49.086
234,76723.06170273834,0.004,100.0,0.0,49.086
235,76723.06170273834,0.004,100.0,0.0,49.086
236,76723.06170273834,0.004,100.0,0.0,49.086
237,76723.06170273834,0.005,100.0,0.0,49.086
238,76723.06170273834,0.004,100.0,0.0,49.086
239,76723.06170273834,0.004,100.0,0.0,49.086
240,76723.06170273834,0.004,100.0,0.0,49.086
241,76723.06170273834,0.004,100.0,0.0,49.086
242,76723.06170273834,0.005,100.0,0.0,49.086
243,76723.06170273834,0.004,100.0,0.0,49.086
244,76723.06170273834,0.004,100.0,0.0,49.086
245,76723.06170273834,0.005,100.0,0.0,49.086
246,76723.06170273834,0.004,100.0,0.0,49.086
247,76723.06170273834,0.004,100.0,0.0,49.086
248,76723.06170273834,0.004,100.0,0.0,49.086
249,76723.06170273834,0.005,100.0,0.0,49.086
250,76723.06170273834,0.004,100.0,0.0,49.086
251,76723.06170273834,0.004,100.0,0.0,49.086
252,76723.06170273834,0.005,100.0,0.0,49.086
253,76723.06170273834,0.004,100.0,0.0,49.086
254,76723.06170273834,0.004,100.0,0.0,49.086
255,76723.06170273834,0.004,100.0,0.0,49.086
256,76723.06170273834,0.005,100.0,0.0,49.086
257,76723.06170273834,0.004,100.0,0.0,49.086
258,76723.06170273834,0.004,100.0,0.0,49.086
259,76723.06170273834,0.005,100.0,0.0,49.086
260,76723.06170273834,0.005,100.0,0.0,49.086
261,76723.06170273834,0.004,100.0,0.0,49.086
262,76723.06170273834,0.004,100.0,0.0,49.086
263,76723.06170273834,0.004,100.0,0.0,49.086
264,76723.06170273834,0.004,100.0,0.0,49.086
265,76723.06170273834,0.004,100.0,0.0,49.086
266,76723.06170273834,0.005,100.0,0.0,49.086
267,76723.06170273834,0.005,100.0,0.0,49.086
268,76723.06170273834,0.004,100.0,0.0,49.086
269,76723.06170273834,0.004,100.0,0.0,49.086
270,76723.06170273834,0.004,100.0,0.0,49.086
271,76723.06170273834,0.004,100.0,0.0,49.086
272,76723.06170273834,0.004,100.0,0.0,49.086
273,76723.06170273834,0.004,100.0,0.0,49.086
274,76723.06170273834,0.004,100.0,0.0,49.086
275,76723.06170273834,0.005,100.0,0.0,49.086
276,76723.06170273834,0.004,100.0,0.0,49.086
277,76723.06170273834,0.004,100.0,0.0,49.086
278,76723.06170273834,0.004,100.0,0.0,49.086
279,76723.06170273834,0.004,100.0,0.0,49.086
280,76723.06170273834,0.005,100.0,0.0,49.086
281,76723.06170273834,0.004,100.0,0.0,49.086
282,76723.06170273834,0.004,100.0,0.0,49.086
283,76723.06170273834,0.005,100.0,0.0,49.086
284,76723.06170273834,0.004,100.0,0.0,49.086
285,76723.06170273834,0.004,100.0,0.0,49.086
286,76723.06170273834,0.004,100.0,0.0,49.086
287,76723.06170273834,0.004,100.0,0.0,49.086
288,76723.06170273834,0.004,100.0,0.0,49.086
289,76723.06170273834,0.004,100.0,0.0,49.086
290,76723.06170273834,0.004,100.0,0.0,49.086
291,76723.06170273834,0.004,100.0,0.0,49.086
292,76723.06170273834,0.005,100.0,0.0,49.086
293,76723.06170273834,0.004,100.0,0.0,49.086
294,76723.06170273834,0.004,100.0,0.0,49.086
295,76723.06170273834,0.004,100.0,0.0,49.086
296,76723.06170273834,0.004,100.0,0.0,49.086
297,76723.06170273834,0.004,100.0,0.0,49.086
298,76723.06170273834,0.004,100.0,0.0,49.086
299,76723.06170273834,0.004,100.0,0.0,49.086
300,76723.06170273834,0.005,100.0,0.0,49.086
301,76723.06170273834,0.005,100.0,0.0,49.086
302,76723.06170273834,0.005,100.0,0.0,49.086
303,76723.06170273834,0.004,100.0,0.0,49.086
304,76723.06170273834,0.004,100.0,0.0,49.086
305,76723.06170273834,0.004,100.0,0.0,49.086
