iter,fitness,time,XPL,XPT,DIV
0,23415.0,0.035,100.0,0.0,0.487
1,8036.0,0.691,44.56,55.44,0.217
2,2677.0,2.395,20.74,79.26,0.101
3,917.0,3.084,9.65,90.35,0.047
4,601.0,2.256,3.7,96.3,0.018
5,547.0,1.914,2.46,97.54,0.012
6,533.0,1.774,1.64,98.36,0.008
7,527.0,1.701,1.64,98.36,0.008
8,527.0,1.894,1.85,98.15,0.009
9,525.0,1.754,1.44,98.56,0.007
10,522.0,1.879,1.64,98.36,0.008
11,522.0,1.843,1.44,98.56,0.007
12,522.0,1.768,1.64,98.36,0.008
13,522.0,1.911,1.85,98.15,0.009
14,522.0,1.923,1.64,98.36,0.008
15,522.0,1.911,1.64,98.36,0.008
16,522.0,1.892,1.85,98.15,0.009
17,522.0,1.787,1.64,98.36,0.008
18,522.0,1.803,1.44,98.56,0.007
19,522.0,1.749,1.44,98.56,0.007
20,522.0,1.772,1.44,98.56,0.007
21,522.0,1.745,1.44,98.56,0.007
22,522.0,1.79,1.64,98.36,0.008
23,520.0,1.811,1.64,98.36,0.008
24,520.0,1.831,1.64,98.36,0.008
25,520.0,1.812,1.64,98.36,0.008
26,520.0,1.827,1.85,98.15,0.009
27,520.0,1.826,1.64,98.36,0.008
28,520.0,1.804,1.64,98.36,0.008
29,520.0,1.918,1.64,98.36,0.008
30,520.0,1.789,1.64,98.36,0.008
