iter,fitness,time,XPL,XPT,DIV
0,73460.38074602296,0.005,100.0,0.0,46.891
1,70260.74438872782,0.005,72.47,27.53,33.981
2,58286.68538012342,0.005,55.08,44.92,25.829
3,46146.65016689536,0.005,44.51,55.49,20.872
4,30170.14307688835,0.004,38.96,61.04,18.271
5,30170.14307688835,0.005,39.66,60.34,18.597
6,21801.62890665333,0.005,34.84,65.16,16.339
7,14753.099546510794,0.005,27.27,72.73,12.789
8,14753.099546510794,0.005,24.23,75.77,11.362
9,14087.992654275296,0.005,20.47,79.53,9.597
10,14087.992654275296,0.005,19.58,80.42,9.182
11,12964.701519195707,0.005,20.82,79.18,9.762
12,10303.106322438134,0.005,21.69,78.31,10.172
13,6384.752358447708,0.004,17.3,82.7,8.112
14,5225.947405902111,0.005,14.65,85.35,6.871
15,5225.947405902111,0.005,12.97,87.03,6.081
16,4678.640140986852,0.005,11.76,88.24,5.515
17,4185.2433606498025,0.005,11.89,88.11,5.573
18,4185.2433606498025,0.005,12.21,87.79,5.725
19,3490.1851950137784,0.005,10.39,89.61,4.871
20,3490.1851950137784,0.006,10.71,89.29,5.022
21,2843.855459107337,0.006,10.74,89.26,5.038
22,2440.812434148579,0.004,9.14,90.86,4.284
23,2440.812434148579,0.005,7.86,92.14,3.686
24,1725.8255038234317,0.005,9.31,90.69,4.366
25,1245.683073610756,0.005,9.05,90.95,4.244
26,1245.683073610756,0.005,8.35,91.65,3.915
27,1245.683073610756,0.005,7.39,92.61,3.467
28,1245.683073610756,0.005,7.3,92.7,3.422
29,1245.683073610756,0.005,6.85,93.15,3.212
30,1245.683073610756,0.005,6.39,93.61,2.998
31,1245.683073610756,0.005,6.74,93.26,3.16
32,1084.9840602868896,0.005,6.17,93.83,2.892
33,989.0073782415465,0.005,6.09,93.91,2.854
34,740.7856651873855,0.005,5.38,94.62,2.522
35,580.2803119610203,0.005,5.92,94.08,2.778
36,443.7830701515512,0.005,5.77,94.23,2.705
37,443.7830701515512,0.005,5.14,94.86,2.408
38,443.7830701515512,0.005,4.17,95.83,1.955
39,340.63191444778613,0.005,3.89,96.11,1.824
40,340.63191444778613,0.006,2.98,97.02,1.398
41,156.32076349454957,0.005,3.1,96.9,1.454
42,156.32076349454957,0.005,2.96,97.04,1.387
43,154.3058646165789,0.006,2.61,97.39,1.222
44,154.3058646165789,0.005,1.84,98.16,0.864
45,106.53345445865041,0.005,2.0,98.0,0.94
