iter,fitness,time,XPL,XPT,DIV
0,23220.0,0.032,100.0,0.0,0.488
1,10795.0,0.532,44.88,55.12,0.219
2,4660.0,1.434,23.98,76.02,0.117
3,2148.0,2.192,13.32,86.68,0.065
4,911.0,2.416,7.38,92.62,0.036
5,570.0,2.011,3.28,96.72,0.016
6,539.0,1.877,2.25,97.75,0.011
7,526.0,1.847,1.84,98.16,0.009
8,524.0,1.867,1.64,98.36,0.008
9,523.0,1.83,1.64,98.36,0.008
10,521.0,1.766,1.43,98.57,0.007
11,520.0,1.917,1.64,98.36,0.008
12,520.0,1.808,1.84,98.16,0.009
13,520.0,1.761,1.43,98.57,0.007
14,520.0,1.724,1.23,98.77,0.006
15,520.0,1.716,1.43,98.57,0.007
16,520.0,1.789,1.43,98.57,0.007
17,520.0,1.862,1.43,98.57,0.007
18,520.0,1.776,1.43,98.57,0.007
19,520.0,1.784,1.64,98.36,0.008
20,520.0,1.693,1.43,98.57,0.007
21,520.0,1.737,1.64,98.36,0.008
22,520.0,1.792,1.43,98.57,0.007
23,520.0,1.711,1.23,98.77,0.006
24,520.0,1.784,1.64,98.36,0.008
25,520.0,1.689,1.43,98.57,0.007
26,520.0,1.669,1.23,98.77,0.006
27,520.0,1.824,1.43,98.57,0.007
28,520.0,1.753,1.43,98.57,0.007
29,520.0,1.741,1.43,98.57,0.007
30,520.0,1.616,1.43,98.57,0.007
