iter,fitness,time,XPL,XPT,DIV
0,23896.0,0.034,100.0,0.0,0.488
1,8394.0,0.592,46.31,53.69,0.226
2,2238.0,2.432,20.29,79.71,0.099
3,802.0,2.661,7.38,92.62,0.036
4,543.0,2.178,3.28,96.72,0.016
5,532.0,1.946,1.64,98.36,0.008
6,530.0,1.88,1.84,98.16,0.009
7,527.0,1.917,1.64,98.36,0.008
8,525.0,1.918,1.64,98.36,0.008
9,524.0,1.764,1.64,98.36,0.008
10,523.0,1.826,1.64,98.36,0.008
11,523.0,1.87,1.84,98.16,0.009
12,522.0,1.825,1.64,98.36,0.008
13,520.0,1.776,1.64,98.36,0.008
14,520.0,1.791,1.64,98.36,0.008
15,520.0,1.802,1.64,98.36,0.008
16,520.0,1.944,1.64,98.36,0.008
17,520.0,1.871,1.64,98.36,0.008
18,520.0,1.789,1.64,98.36,0.008
19,520.0,1.824,1.64,98.36,0.008
20,520.0,1.804,1.64,98.36,0.008
21,520.0,1.74,1.64,98.36,0.008
22,520.0,1.752,1.64,98.36,0.008
23,520.0,1.727,1.84,98.16,0.009
24,520.0,1.815,1.64,98.36,0.008
25,520.0,1.786,1.43,98.57,0.007
26,520.0,1.767,1.43,98.57,0.007
27,520.0,1.807,1.43,98.57,0.007
28,520.0,1.853,1.84,98.16,0.009
29,520.0,1.687,1.43,98.57,0.007
30,520.0,1.849,1.84,98.16,0.009
