iter,fitness,time,XPL,XPT,DIV
0,23625.0,0.036,100.0,0.0,0.488
1,23194.0,0.055,78.28,21.72,0.382
2,22968.0,0.058,77.05,22.95,0.376
3,22968.0,0.059,78.28,21.72,0.382
4,22652.0,0.058,78.07,21.93,0.381
5,22279.0,0.056,78.69,21.31,0.384
6,22279.0,0.056,78.07,21.93,0.381
7,22279.0,0.057,77.05,22.95,0.376
8,22279.0,0.055,78.07,21.93,0.381
9,22279.0,0.058,78.48,21.52,0.383
10,22279.0,0.058,77.25,22.75,0.377
11,22279.0,0.055,78.48,21.52,0.383
12,22279.0,0.057,78.07,21.93,0.381
13,22279.0,0.056,77.87,22.13,0.38
14,22279.0,0.059,77.87,22.13,0.38
15,22279.0,0.055,75.61,24.39,0.369
16,22279.0,0.059,76.64,23.36,0.374
17,22279.0,0.059,76.64,23.36,0.374
18,22279.0,0.062,78.48,21.52,0.383
19,22279.0,0.055,78.07,21.93,0.381
20,22279.0,0.054,78.28,21.72,0.382
21,22279.0,0.056,78.48,21.52,0.383
22,22279.0,0.056,78.48,21.52,0.383
23,22279.0,0.055,77.87,22.13,0.38
24,22279.0,0.055,78.07,21.93,0.381
25,22279.0,0.055,78.28,21.72,0.382
26,22279.0,0.055,76.02,23.98,0.371
27,22279.0,0.057,77.25,22.75,0.377
28,22279.0,0.057,77.87,22.13,0.38
29,22279.0,0.058,77.87,22.13,0.38
30,22279.0,0.056,78.69,21.31,0.384
