iter,fitness,time,XPL,XPT,DIV
0,48353.0,0.066,100.0,0.0,0.488
1,15024.0,0.792,43.24,56.76,0.211
2,2297.0,2.889,13.93,86.07,0.068
3,419.0,4.142,3.69,96.31,0.018
4,328.0,2.56,1.84,98.16,0.009
5,324.0,2.35,0.82,99.18,0.004
6,323.0,2.178,0.61,99.39,0.003
7,321.0,2.102,0.61,99.39,0.003
8,321.0,2.092,0.61,99.39,0.003
9,321.0,2.151,0.61,99.39,0.003
10,321.0,2.239,0.82,99.18,0.004
11,321.0,2.021,0.61,99.39,0.003
12,321.0,2.119,0.61,99.39,0.003
13,321.0,2.165,0.61,99.39,0.003
14,321.0,2.136,0.61,99.39,0.003
15,320.0,2.106,0.61,99.39,0.003
16,318.0,2.292,0.82,99.18,0.004
17,318.0,2.184,0.82,99.18,0.004
18,318.0,2.248,0.82,99.18,0.004
19,318.0,2.456,0.82,99.18,0.004
20,318.0,2.375,1.02,98.98,0.005
21,318.0,2.846,0.82,99.18,0.004
22,318.0,2.514,0.82,99.18,0.004
23,318.0,2.433,0.61,99.39,0.003
24,318.0,2.449,0.82,99.18,0.004
25,318.0,2.413,0.82,99.18,0.004
26,318.0,2.406,0.82,99.18,0.004
27,318.0,2.277,0.61,99.39,0.003
28,318.0,2.278,0.82,99.18,0.004
29,318.0,2.493,0.61,99.39,0.003
30,318.0,2.357,0.82,99.18,0.004
