iter,fitness,time,XPL,XPT,DIV
0,48449.0,0.07,100.0,0.0,0.487
1,32899.0,0.782,39.63,60.37,0.193
2,21056.0,0.764,27.31,72.69,0.133
3,13483.0,0.848,18.07,81.93,0.088
4,8760.0,1.17,12.53,87.47,0.061
5,5327.0,1.765,9.65,90.35,0.047
6,3115.0,2.6,7.19,92.81,0.035
7,1731.0,3.037,5.34,94.66,0.026
8,1027.0,3.025,3.29,96.71,0.016
9,647.0,3.123,2.46,97.54,0.012
10,400.0,3.148,1.64,98.36,0.008
11,352.0,3.05,1.44,98.56,0.007
12,337.0,3.174,1.23,98.77,0.006
13,328.0,3.178,0.82,99.18,0.004
14,324.0,3.024,0.82,99.18,0.004
15,323.0,3.208,0.82,99.18,0.004
16,320.0,3.41,1.03,98.97,0.005
17,320.0,3.448,0.82,99.18,0.004
18,320.0,3.298,1.03,98.97,0.005
19,318.0,3.259,0.82,99.18,0.004
20,318.0,3.121,0.82,99.18,0.004
21,318.0,3.271,1.03,98.97,0.005
22,318.0,3.173,0.82,99.18,0.004
23,318.0,3.111,0.62,99.38,0.003
24,318.0,3.234,1.03,98.97,0.005
25,318.0,3.152,0.82,99.18,0.004
26,318.0,3.201,0.82,99.18,0.004
27,318.0,3.26,1.03,98.97,0.005
28,318.0,3.238,0.82,99.18,0.004
29,318.0,3.137,0.82,99.18,0.004
30,318.0,3.303,0.82,99.18,0.004
