iter,fitness,time,XPL,XPT,DIV
0,47981.0,0.077,100.0,0.0,0.487
1,28125.0,0.727,43.33,56.67,0.211
2,16898.0,0.775,25.87,74.13,0.126
3,9302.0,1.073,16.43,83.57,0.08
4,4691.0,2.112,10.88,89.12,0.053
5,2470.0,3.426,6.98,93.02,0.034
6,1296.0,3.559,4.72,95.28,0.023
7,662.0,3.886,3.08,96.92,0.015
8,407.0,3.774,2.05,97.95,0.01
9,357.0,3.661,1.64,98.36,0.008
10,338.0,3.817,1.64,98.36,0.008
11,333.0,3.903,1.23,98.77,0.006
12,328.0,3.995,1.03,98.97,0.005
13,323.0,4.67,1.23,98.77,0.006
14,320.0,3.972,1.03,98.97,0.005
15,320.0,3.787,1.03,98.97,0.005
16,320.0,3.606,1.03,98.97,0.005
17,320.0,4.054,1.03,98.97,0.005
18,320.0,3.749,1.03,98.97,0.005
19,320.0,3.615,0.82,99.18,0.004
20,320.0,3.573,1.03,98.97,0.005
21,320.0,3.611,1.03,98.97,0.005
22,320.0,3.475,0.82,99.18,0.004
23,320.0,3.466,1.03,98.97,0.005
24,320.0,3.555,1.03,98.97,0.005
25,320.0,3.526,0.82,99.18,0.004
26,317.0,3.557,0.82,99.18,0.004
27,317.0,3.492,0.82,99.18,0.004
28,317.0,3.242,1.03,98.97,0.005
29,317.0,3.808,1.03,98.97,0.005
30,317.0,3.899,1.03,98.97,0.005
