iter,fitness,time,XPL,XPT,DIV
0,23140.0,0.032,100.0,0.0,0.487
1,13120.0,0.392,43.74,56.26,0.213
2,7338.0,0.716,27.1,72.9,0.132
3,4122.0,1.43,17.66,82.34,0.086
4,2292.0,1.859,12.11,87.89,0.059
5,1300.0,1.97,8.21,91.79,0.04
6,859.0,1.944,5.54,94.46,0.027
7,655.0,1.983,4.72,95.28,0.023
8,573.0,1.851,3.29,96.71,0.016
9,546.0,1.965,2.87,97.13,0.014
10,535.0,1.907,2.05,97.95,0.01
11,530.0,1.922,1.64,98.36,0.008
12,525.0,1.869,1.85,98.15,0.009
13,522.0,1.845,1.64,98.36,0.008
14,522.0,1.864,1.64,98.36,0.008
15,522.0,1.81,1.85,98.15,0.009
16,522.0,1.765,1.85,98.15,0.009
17,522.0,1.821,1.85,98.15,0.009
18,521.0,1.74,1.23,98.77,0.006
19,521.0,1.798,1.44,98.56,0.007
20,521.0,1.76,1.44,98.56,0.007
21,520.0,1.643,1.44,98.56,0.007
22,520.0,1.801,1.85,98.15,0.009
23,520.0,1.765,1.44,98.56,0.007
24,520.0,1.636,1.64,98.36,0.008
25,520.0,1.696,1.85,98.15,0.009
26,520.0,1.731,1.64,98.36,0.008
27,520.0,1.692,1.44,98.56,0.007
28,520.0,1.666,1.64,98.36,0.008
29,520.0,1.656,1.64,98.36,0.008
30,520.0,1.694,1.85,98.15,0.009
