iter,fitness,time,XPL,XPT,DIV
0,23490.0,0.033,100.0,0.0,0.487
1,16037.0,0.357,36.14,63.86,0.176
2,12031.0,0.385,20.94,79.06,0.102
3,8831.0,0.477,15.61,84.39,0.076
4,6434.0,0.691,12.94,87.06,0.063
5,4791.0,0.833,10.68,89.32,0.052
6,3569.0,1.077,9.86,90.14,0.048
7,2465.0,1.191,7.6,92.4,0.037
8,1606.0,1.313,6.78,93.22,0.033
9,1183.0,1.262,4.93,95.07,0.024
10,896.0,1.187,3.9,96.1,0.019
11,728.0,1.203,3.29,96.71,0.016
12,635.0,1.275,2.67,97.33,0.013
13,595.0,1.34,2.67,97.33,0.013
14,573.0,1.387,1.85,98.15,0.009
15,552.0,1.418,1.64,98.36,0.008
16,545.0,1.476,1.64,98.36,0.008
17,539.0,1.434,1.44,98.56,0.007
18,533.0,1.5,1.44,98.56,0.007
19,530.0,1.552,1.44,98.56,0.007
20,528.0,1.55,1.44,98.56,0.007
21,528.0,1.598,1.44,98.56,0.007
22,523.0,1.585,1.23,98.77,0.006
23,523.0,1.666,1.44,98.56,0.007
24,523.0,1.661,1.64,98.36,0.008
25,523.0,1.692,1.44,98.56,0.007
26,521.0,1.717,1.44,98.56,0.007
27,520.0,1.742,1.44,98.56,0.007
28,520.0,1.635,1.44,98.56,0.007
29,520.0,1.65,1.44,98.56,0.007
30,520.0,1.669,1.44,98.56,0.007
