iter,fitness,time,XPL,XPT,DIV
0,23419.0,0.037,100.0,0.0,0.487
1,23169.0,0.058,78.03,21.97,0.38
2,23169.0,0.057,78.64,21.36,0.383
3,23118.0,0.055,77.62,22.38,0.378
4,23118.0,0.055,77.62,22.38,0.378
5,23118.0,0.057,78.64,21.36,0.383
6,23115.0,0.057,78.23,21.77,0.381
7,21929.0,0.057,76.18,23.82,0.371
8,21929.0,0.059,78.23,21.77,0.381
9,21929.0,0.054,77.82,22.18,0.379
10,21929.0,0.055,78.03,21.97,0.38
11,21929.0,0.056,78.44,21.56,0.382
12,21929.0,0.057,78.44,21.56,0.382
13,21929.0,0.057,76.18,23.82,0.371
14,21929.0,0.057,77.62,22.38,0.378
15,21929.0,0.058,76.8,23.2,0.374
16,21929.0,0.058,77.82,22.18,0.379
17,21929.0,0.058,75.77,24.23,0.369
18,21929.0,0.057,78.03,21.97,0.38
19,21929.0,0.057,78.03,21.97,0.38
20,21929.0,0.056,78.23,21.77,0.381
21,21458.0,0.058,75.77,24.23,0.369
22,21458.0,0.06,78.23,21.77,0.381
23,21458.0,0.058,77.21,22.79,0.376
24,21458.0,0.062,75.56,24.44,0.368
25,21458.0,0.056,77.62,22.38,0.378
26,21458.0,0.058,77.41,22.59,0.377
27,21458.0,0.056,79.26,20.74,0.386
28,21458.0,0.056,75.77,24.23,0.369
29,21458.0,0.057,77.41,22.59,0.377
30,21458.0,0.056,78.03,21.97,0.38
