iter,fitness,time,XPL,XPT,DIV
0,23783.0,0.037,100.0,0.0,0.487
1,8092.0,0.632,47.02,52.98,0.229
2,2067.0,2.307,20.94,79.06,0.102
3,801.0,2.829,8.21,91.79,0.04
4,552.0,2.225,3.29,96.71,0.016
5,530.0,1.8,1.85,98.15,0.009
6,524.0,1.763,1.85,98.15,0.009
7,524.0,1.808,1.64,98.36,0.008
8,522.0,1.713,1.64,98.36,0.008
9,522.0,1.799,1.64,98.36,0.008
10,522.0,1.886,1.64,98.36,0.008
11,522.0,1.751,1.64,98.36,0.008
12,522.0,1.826,1.64,98.36,0.008
13,522.0,1.89,1.64,98.36,0.008
14,522.0,1.824,1.64,98.36,0.008
15,522.0,2.031,1.85,98.15,0.009
16,522.0,1.88,1.64,98.36,0.008
17,522.0,1.955,1.64,98.36,0.008
18,522.0,1.898,1.44,98.56,0.007
19,522.0,1.904,1.85,98.15,0.009
20,522.0,1.894,1.64,98.36,0.008
21,522.0,1.827,1.64,98.36,0.008
22,522.0,1.834,1.64,98.36,0.008
23,522.0,1.91,1.64,98.36,0.008
24,522.0,1.835,1.64,98.36,0.008
25,522.0,1.909,1.85,98.15,0.009
26,522.0,1.874,1.64,98.36,0.008
27,520.0,1.822,1.44,98.56,0.007
28,520.0,1.875,1.85,98.15,0.009
29,520.0,1.904,1.64,98.36,0.008
30,520.0,1.787,1.44,98.56,0.007
