iter,fitness,time,XPL,XPT,DIV
0,71489.0,0.233,100.0,0.0,0.487
1,26750.0,1.474,44.15,55.85,0.215
2,7547.0,1.383,16.22,83.78,0.079
3,1583.0,3.864,5.75,94.25,0.028
4,216.0,7.394,2.46,97.54,0.012
5,76.0,5.746,0.82,99.18,0.004
6,74.0,4.237,0.62,99.38,0.003
7,73.0,4.264,0.41,99.59,0.002
8,73.0,4.314,0.41,99.59,0.002
9,73.0,4.078,0.41,99.59,0.002
10,73.0,4.367,0.41,99.59,0.002
11,73.0,4.144,0.41,99.59,0.002
12,73.0,4.237,0.21,99.79,0.001
13,73.0,4.207,0.41,99.59,0.002
14,73.0,4.381,0.41,99.59,0.002
15,73.0,4.157,0.41,99.59,0.002
16,73.0,4.182,0.41,99.59,0.002
17,73.0,4.439,0.41,99.59,0.002
18,73.0,4.036,0.41,99.59,0.002
19,73.0,4.178,0.41,99.59,0.002
20,73.0,4.334,0.41,99.59,0.002
21,73.0,4.143,0.41,99.59,0.002
22,73.0,4.306,0.21,99.79,0.001
23,73.0,4.229,0.41,99.59,0.002
24,73.0,4.252,0.41,99.59,0.002
25,73.0,4.255,0.41,99.59,0.002
26,73.0,4.678,0.41,99.59,0.002
27,73.0,4.426,0.41,99.59,0.002
28,73.0,4.409,0.41,99.59,0.002
29,73.0,4.305,0.41,99.59,0.002
30,73.0,4.251,0.41,99.59,0.002
