iter,fitness,time,XPL,XPT,DIV
0,80627.20160074842,0.004,100.0,0.0,47.739
1,43960.092195052515,0.005,62.48,37.52,29.828
2,43960.092195052515,0.005,45.16,54.84,21.558
3,35158.19141188223,0.005,43.72,56.28,20.872
4,32005.245524195918,0.005,37.71,62.29,18.001
5,20300.50194075857,0.005,29.77,70.23,14.212
6,20300.50194075857,0.005,25.26,74.74,12.059
7,19809.325909493175,0.005,23.65,76.35,11.289
8,13054.674023555152,0.005,26.53,73.47,12.665
9,13054.674023555152,0.005,22.25,77.75,10.621
10,11272.589135651127,0.004,26.11,73.89,12.465
11,7636.231703051769,0.005,24.37,75.63,11.636
12,6317.954289385899,0.005,19.64,80.36,9.378
13,5241.962121045776,0.006,15.25,84.75,7.278
14,5018.917361875195,0.005,12.44,87.56,5.938
15,3840.353166509777,0.005,12.96,87.04,6.186
16,3840.353166509777,0.005,11.03,88.97,5.264
17,3840.353166509777,0.005,10.15,89.85,4.844
18,3840.353166509777,0.004,9.89,90.11,4.723
19,3798.698106657721,0.005,10.04,89.96,4.793
20,2867.2892138532106,0.005,10.1,89.9,4.82
21,1490.0620524241758,0.005,9.69,90.31,4.624
22,1490.0620524241758,0.005,9.6,90.4,4.585
23,1490.0620524241758,0.005,7.21,92.79,3.444
24,1490.0620524241758,0.005,7.08,92.92,3.378
25,1490.0620524241758,0.005,7.76,92.24,3.703
26,1490.0620524241758,0.005,7.11,92.89,3.395
27,1490.0620524241758,0.005,6.65,93.35,3.173
28,1490.0620524241758,0.005,7.28,92.72,3.476
29,1490.0620524241758,0.005,7.27,92.73,3.473
30,1490.0620524241758,0.005,7.32,92.68,3.496
31,1490.0620524241758,0.004,7.63,92.37,3.644
32,1091.2651254191478,0.005,7.73,92.27,3.692
33,721.0061674384309,0.005,6.53,93.47,3.118
34,721.0061674384309,0.005,6.5,93.5,3.101
35,721.0061674384309,0.005,5.62,94.38,2.684
36,721.0061674384309,0.005,5.79,94.21,2.763
37,721.0061674384309,0.005,5.07,94.93,2.418
38,605.7001673577014,0.005,4.69,95.31,2.241
39,605.7001673577014,0.005,4.33,95.67,2.069
40,605.7001673577014,0.005,4.38,95.62,2.09
41,605.7001673577014,0.005,3.67,96.33,1.751
42,605.7001673577014,0.005,3.88,96.12,1.85
43,605.7001673577014,0.005,4.75,95.25,2.267
44,605.7001673577014,0.004,4.13,95.87,1.973
45,605.7001673577014,0.005,3.53,96.47,1.684
46,605.7001673577014,0.005,4.18,95.82,1.996
47,605.7001673577014,0.005,4.13,95.87,1.97
48,391.82913075733535,0.005,3.35,96.65,1.597
49,391.82913075733535,0.005,2.63,97.37,1.254
50,274.6754689172869,0.004,2.96,97.04,1.411
51,218.91608319999278,0.005,2.66,97.34,1.268
52,218.91608319999278,0.004,3.27,96.73,1.563
53,189.32048945920883,0.005,2.6,97.4,1.243
54,156.51746187170153,0.005,2.48,97.52,1.183
55,156.51746187170153,0.005,2.59,97.41,1.237
56,156.51746187170153,0.005,2.03,97.97,0.967
57,156.51746187170153,0.005,1.72,98.28,0.821
58,156.51746187170153,0.005,1.71,98.29,0.817
59,156.51746187170153,0.004,2.03,97.97,0.971
60,156.51746187170153,0.005,1.74,98.26,0.829
61,156.51746187170153,0.005,1.79,98.21,0.856
62,142.31651955266574,0.005,1.89,98.11,0.902
63,142.31651955266574,0.005,1.93,98.07,0.923
64,142.31651955266574,0.005,1.62,98.38,0.773
65,90.28207314673081,0.005,2.2,97.8,1.048
66,90.28207314673081,0.005,1.88,98.12,0.898
67,90.28207314673081,0.004,2.4,97.6,1.145
68,41.6084269298198,0.005,1.95,98.05,0.932
69,41.6084269298198,0.005,1.68,98.32,0.801
70,41.6084269298198,0.005,1.25,98.75,0.595
71,21.62175119911608,0.004,1.5,98.5,0.714
72,21.252717660435827,0.005,0.94,99.06,0.448
73,18.765567269611015,0.005,0.75,99.25,0.359
74,18.765567269611015,0.005,0.71,99.29,0.34
75,9.051196842061263,0.005,0.78,99.22,0.373
76,8.89272226044463,0.005,0.67,99.33,0.318
77,8.402081044004133,0.005,0.56,99.44,0.266
78,7.874030363413044,0.004,0.43,99.57,0.206
79,6.336453927491261,0.005,0.44,99.56,0.21
80,3.1690856423171145,0.005,0.37,99.63,0.179
81,2.7656323535555565,0.005,0.29,99.71,0.14
82,1.7003951738879093,0.005,0.25,99.75,0.118
83,1.0450905289250543,0.004,0.23,99.77,0.108
84,1.0450905289250543,0.005,0.2,99.8,0.094
85,0.7279443605935743,0.005,0.17,99.83,0.08
86,0.7279443605935743,0.005,0.13,99.87,0.06
87,0.36050849561825055,0.005,0.13,99.87,0.061
88,0.36050849561825055,0.004,0.11,99.89,0.052
89,0.3325195660053911,0.005,0.11,99.89,0.052
90,0.29068862102741,0.005,0.11,99.89,0.051
91,0.29068862102741,0.005,0.09,99.91,0.045
92,0.22921143927140739,0.005,0.08,99.92,0.038
93,0.22921143927140739,0.005,0.08,99.92,0.039
94,0.22921143927140739,0.005,0.08,99.92,0.036
95,0.22921143927140739,0.004,0.09,99.91,0.042
96,0.22921143927140739,0.005,0.09,99.91,0.045
97,0.22921143927140739,0.005,0.11,99.89,0.052
98,0.22921143927140739,0.005,0.09,99.91,0.043
99,0.22921143927140739,0.005,0.07,99.93,0.032
100,0.1350258237532232,0.005,0.06,99.94,0.03
101,0.09752453941646232,0.005,0.06,99.94,0.029
102,0.09752453941646232,0.004,0.06,99.94,0.027
103,0.09752453941646232,0.005,0.05,99.95,0.026
104,0.09112617624784944,0.005,0.05,99.95,0.025
105,0.09112617624784944,0.005,0.04,99.96,0.02
106,0.07802868649914929,0.005,0.04,99.96,0.02
107,0.07802868649914929,0.004,0.04,99.96,0.02
108,0.05368264059111526,0.005,0.04,99.96,0.02
109,0.034837423062574674,0.005,0.04,99.96,0.019
110,0.034837423062574674,0.005,0.04,99.96,0.019
111,0.034837423062574674,0.005,0.04,99.96,0.019
112,0.025209899069862308,0.005,0.04,99.96,0.017
113,0.025209899069862308,0.005,0.04,99.96,0.018
114,0.020896802052982787,0.005,0.03,99.97,0.014
115,0.018593529228771614,0.005,0.02,99.98,0.01
116,0.014509562532872382,0.004,0.02,99.98,0.01
