iter,fitness,time,XPL,XPT,DIV
0,22934.0,0.033,100.0,0.0,0.487
1,10805.0,0.485,43.94,56.06,0.214
2,4093.0,1.656,24.23,75.77,0.118
3,1874.0,2.446,13.55,86.45,0.066
4,889.0,2.183,6.57,93.43,0.032
5,607.0,2.062,3.08,96.92,0.015
6,546.0,1.923,1.64,98.36,0.008
7,532.0,1.873,1.64,98.36,0.008
8,526.0,1.93,1.64,98.36,0.008
9,523.0,1.782,1.44,98.56,0.007
10,523.0,1.805,1.64,98.36,0.008
11,523.0,1.838,1.44,98.56,0.007
12,523.0,1.903,1.64,98.36,0.008
13,523.0,1.833,1.44,98.56,0.007
14,523.0,1.907,1.64,98.36,0.008
15,523.0,1.768,1.64,98.36,0.008
16,523.0,1.774,1.64,98.36,0.008
17,523.0,1.757,1.64,98.36,0.008
18,523.0,1.841,1.64,98.36,0.008
19,523.0,1.758,1.64,98.36,0.008
20,523.0,1.678,1.44,98.56,0.007
21,523.0,1.749,1.64,98.36,0.008
22,523.0,1.871,1.85,98.15,0.009
23,523.0,1.717,1.64,98.36,0.008
24,523.0,1.706,1.44,98.56,0.007
25,523.0,1.814,1.64,98.36,0.008
26,523.0,1.822,1.64,98.36,0.008
27,523.0,1.78,1.64,98.36,0.008
28,523.0,1.808,1.64,98.36,0.008
29,523.0,1.7,1.64,98.36,0.008
30,523.0,1.844,1.85,98.15,0.009
