iter,fitness,time,XPL,XPT,DIV
0,73421.0,0.101,100.0,0.0,0.487
1,36975.0,1.16,46.41,53.59,0.226
2,19279.0,1.149,23.2,76.8,0.113
3,9081.0,1.134,12.53,87.47,0.061
4,4204.0,1.344,5.95,94.05,0.029
5,1770.0,3.114,3.9,96.1,0.019
6,620.0,5.358,2.67,97.33,0.013
7,232.0,5.144,1.64,98.36,0.008
8,86.0,4.714,1.23,98.77,0.006
9,77.0,4.185,0.62,99.38,0.003
10,75.0,4.365,0.62,99.38,0.003
11,72.0,4.053,0.41,99.59,0.002
12,72.0,4.02,0.21,99.79,0.001
13,72.0,3.733,0.21,99.79,0.001
14,72.0,4.07,0.41,99.59,0.002
15,72.0,4.123,0.21,99.79,0.001
16,72.0,3.89,0.21,99.79,0.001
17,72.0,3.949,0.21,99.79,0.001
18,72.0,3.956,0.21,99.79,0.001
19,72.0,4.02,0.41,99.59,0.002
20,72.0,3.788,0.21,99.79,0.001
21,72.0,3.968,0.41,99.59,0.002
22,72.0,3.923,0.21,99.79,0.001
23,72.0,3.836,0.21,99.79,0.001
24,72.0,3.837,0.21,99.79,0.001
25,72.0,4.001,0.21,99.79,0.001
26,72.0,3.826,0.21,99.79,0.001
27,72.0,4.041,0.41,99.59,0.002
28,72.0,3.993,0.21,99.79,0.001
29,72.0,3.865,0.21,99.79,0.001
30,72.0,3.772,0.21,99.79,0.001
