iter,fitness,time,XPL,XPT,DIV
0,22700.0,0.032,100.0,0.0,0.487
1,6744.0,0.601,44.15,55.85,0.215
2,1197.0,2.032,15.81,84.19,0.077
3,558.0,1.773,3.9,96.1,0.019
4,532.0,1.203,2.05,97.95,0.01
5,528.0,1.208,1.85,98.15,0.009
6,528.0,1.169,1.85,98.15,0.009
7,524.0,1.188,1.64,98.36,0.008
8,523.0,1.174,1.85,98.15,0.009
9,523.0,1.192,1.64,98.36,0.008
10,522.0,1.074,1.23,98.77,0.006
11,522.0,1.113,1.64,98.36,0.008
12,522.0,1.178,1.85,98.15,0.009
13,522.0,1.071,1.44,98.56,0.007
14,522.0,1.115,1.44,98.56,0.007
15,522.0,1.077,1.44,98.56,0.007
16,522.0,1.102,1.64,98.36,0.008
17,522.0,1.099,1.44,98.56,0.007
18,522.0,1.103,1.64,98.36,0.008
19,522.0,1.142,1.64,98.36,0.008
20,522.0,1.13,1.64,98.36,0.008
21,522.0,1.126,1.64,98.36,0.008
22,522.0,1.11,1.64,98.36,0.008
23,522.0,1.203,1.64,98.36,0.008
24,521.0,1.148,1.64,98.36,0.008
25,521.0,1.151,1.85,98.15,0.009
26,521.0,1.196,1.85,98.15,0.009
27,521.0,1.166,1.85,98.15,0.009
28,520.0,1.165,1.64,98.36,0.008
29,520.0,1.106,1.64,98.36,0.008
30,520.0,1.107,1.44,98.56,0.007
