iter,fitness,time,XPL,XPT,DIV
0,48829.0,0.066,100.0,0.0,0.488
1,32958.0,0.749,40.16,59.84,0.196
2,21490.0,0.743,27.66,72.34,0.135
3,13629.0,0.786,19.06,80.94,0.093
4,8557.0,1.053,12.7,87.3,0.062
5,5536.0,1.562,9.02,90.98,0.044
6,3387.0,2.28,7.38,92.62,0.036
7,2065.0,2.733,5.94,94.06,0.029
8,1282.0,3.289,4.51,95.49,0.022
9,699.0,3.372,3.69,96.31,0.018
10,480.0,3.146,2.46,97.54,0.012
11,381.0,3.126,1.84,98.16,0.009
12,355.0,3.087,1.43,98.57,0.007
13,343.0,2.973,1.23,98.77,0.006
14,336.0,2.973,1.23,98.77,0.006
15,332.0,3.066,0.82,99.18,0.004
16,330.0,3.281,1.23,98.77,0.006
17,322.0,3.143,1.02,98.98,0.005
18,322.0,3.097,1.02,98.98,0.005
19,320.0,3.24,1.23,98.77,0.006
20,320.0,3.204,1.02,98.98,0.005
21,320.0,3.226,1.02,98.98,0.005
22,320.0,3.118,1.02,98.98,0.005
23,320.0,3.257,1.02,98.98,0.005
24,320.0,3.15,0.82,99.18,0.004
25,318.0,3.189,0.82,99.18,0.004
26,318.0,3.2,0.82,99.18,0.004
27,317.0,2.97,0.82,99.18,0.004
28,317.0,3.027,0.82,99.18,0.004
29,317.0,3.243,1.02,98.98,0.005
30,316.0,3.078,0.82,99.18,0.004
