iter,fitness,time,XPL,XPT,DIV
0,69433.0,0.106,100.0,0.0,0.488
1,47162.0,1.128,38.93,61.07,0.19
2,31313.0,1.118,27.05,72.95,0.132
3,20847.0,1.125,18.44,81.56,0.09
4,13158.0,1.114,12.5,87.5,0.061
5,8352.0,1.11,8.2,91.8,0.04
6,4783.0,1.2,5.53,94.47,0.027
7,2554.0,2.192,3.89,96.11,0.019
8,1454.0,3.637,2.87,97.13,0.014
9,560.0,4.01,2.05,97.95,0.01
10,283.0,4.202,1.23,98.77,0.006
11,146.0,3.984,0.82,99.18,0.004
12,102.0,4.334,0.61,99.39,0.003
13,86.0,4.075,0.2,99.8,0.001
14,84.0,4.258,0.41,99.59,0.002
15,84.0,4.368,0.2,99.8,0.001
16,83.0,4.305,0.2,99.8,0.001
17,83.0,4.4,0.2,99.8,0.001
18,83.0,4.104,0.41,99.59,0.002
19,83.0,4.263,0.41,99.59,0.002
20,83.0,4.231,0.2,99.8,0.001
21,83.0,4.099,0.41,99.59,0.002
22,83.0,4.552,0.41,99.59,0.002
23,83.0,4.215,0.41,99.59,0.002
24,83.0,4.069,0.41,99.59,0.002
25,83.0,4.215,0.41,99.59,0.002
26,83.0,4.347,0.2,99.8,0.001
27,83.0,4.339,0.41,99.59,0.002
28,83.0,4.176,0.2,99.8,0.001
29,83.0,4.05,0.2,99.8,0.001
30,83.0,4.255,0.41,99.59,0.002
