iter,fitness,time,XPL,XPT,DIV
0,48394.0,0.066,100.0,0.0,0.488
1,28897.0,0.68,45.08,54.92,0.22
2,16922.0,0.72,27.46,72.54,0.134
3,9374.0,0.983,16.6,83.4,0.081
4,5205.0,1.827,10.66,89.34,0.052
5,2814.0,3.086,7.38,92.62,0.036
6,1373.0,3.768,5.33,94.67,0.026
7,808.0,3.673,2.87,97.13,0.014
8,513.0,3.769,2.46,97.54,0.012
9,383.0,4.021,1.84,98.16,0.009
10,335.0,3.587,1.64,98.36,0.008
11,326.0,3.643,1.02,98.98,0.005
12,326.0,3.713,1.02,98.98,0.005
13,323.0,3.66,1.02,98.98,0.005
14,322.0,3.581,1.02,98.98,0.005
15,322.0,3.697,1.02,98.98,0.005
16,322.0,3.549,1.02,98.98,0.005
17,322.0,3.612,1.02,98.98,0.005
18,322.0,3.59,1.23,98.77,0.006
19,322.0,3.458,1.02,98.98,0.005
20,320.0,3.245,1.02,98.98,0.005
21,320.0,3.37,1.02,98.98,0.005
22,319.0,3.352,1.02,98.98,0.005
23,318.0,3.27,1.02,98.98,0.005
24,317.0,3.254,0.82,99.18,0.004
25,317.0,3.293,0.82,99.18,0.004
26,316.0,3.202,0.82,99.18,0.004
27,316.0,3.176,1.02,98.98,0.005
28,315.0,3.096,1.02,98.98,0.005
29,315.0,3.175,1.02,98.98,0.005
30,315.0,3.232,1.02,98.98,0.005
