iter,fitness,time,XPL,XPT,DIV
0,72671.0,0.102,100.0,0.0,0.488
1,43242.0,1.026,44.47,55.53,0.217
2,25535.0,1.003,26.23,73.77,0.128
3,14449.0,0.997,15.78,84.22,0.077
4,7710.0,0.999,9.22,90.78,0.045
5,3837.0,1.475,5.33,94.67,0.026
6,1819.0,3.209,3.69,96.31,0.018
7,738.0,4.723,2.87,97.13,0.014
8,291.0,4.732,1.84,98.16,0.009
9,149.0,4.627,1.23,98.77,0.006
10,81.0,4.246,0.82,99.18,0.004
11,76.0,4.168,0.41,99.59,0.002
12,73.0,4.37,0.41,99.59,0.002
13,72.0,4.148,0.41,99.59,0.002
14,72.0,4.216,0.41,99.59,0.002
15,72.0,4.419,0.41,99.59,0.002
16,72.0,4.231,0.41,99.59,0.002
17,72.0,4.325,0.41,99.59,0.002
18,72.0,3.964,0.41,99.59,0.002
19,72.0,4.033,0.2,99.8,0.001
20,72.0,3.726,0.2,99.8,0.001
21,72.0,4.071,0.2,99.8,0.001
22,72.0,3.934,0.2,99.8,0.001
23,72.0,3.868,0.41,99.59,0.002
24,72.0,3.82,0.2,99.8,0.001
25,72.0,3.768,0.41,99.59,0.002
26,72.0,3.584,0.2,99.8,0.001
27,72.0,3.778,0.2,99.8,0.001
28,72.0,3.605,0.2,99.8,0.001
29,72.0,3.905,0.41,99.59,0.002
30,72.0,3.881,0.41,99.59,0.002
