iter,fitness,time,XPL,XPT,DIV
0,22869.0,0.034,100.0,0.0,0.488
1,15485.0,0.354,35.25,64.75,0.172
2,11074.0,0.396,20.9,79.1,0.102
3,8434.0,0.536,14.96,85.04,0.073
4,6375.0,0.7,13.11,86.89,0.064
5,4632.0,0.871,10.86,89.14,0.053
6,3427.0,1.044,8.4,91.6,0.041
7,2498.0,1.192,7.58,92.42,0.037
8,1815.0,1.234,5.53,94.47,0.027
9,1230.0,1.248,4.71,95.29,0.023
10,974.0,1.291,3.07,96.93,0.015
11,812.0,1.292,2.87,97.13,0.014
12,623.0,1.24,2.46,97.54,0.012
13,575.0,1.279,2.05,97.95,0.01
14,545.0,1.33,1.64,98.36,0.008
15,534.0,1.332,1.43,98.57,0.007
16,530.0,1.439,1.23,98.77,0.006
17,528.0,1.494,1.43,98.57,0.007
18,527.0,1.445,1.23,98.77,0.006
19,526.0,1.521,1.23,98.77,0.006
20,524.0,1.592,1.43,98.57,0.007
21,522.0,1.529,1.23,98.77,0.006
22,522.0,1.625,1.43,98.57,0.007
23,522.0,1.729,1.43,98.57,0.007
24,522.0,1.738,1.43,98.57,0.007
25,522.0,1.73,1.64,98.36,0.008
26,522.0,1.755,1.64,98.36,0.008
27,522.0,1.757,1.43,98.57,0.007
28,522.0,1.744,1.64,98.36,0.008
29,520.0,1.667,1.64,98.36,0.008
30,520.0,1.615,1.43,98.57,0.007
