iter,fitness,time,XPL,XPT,DIV
0,49175.0,0.068,100.0,0.0,0.488
1,33929.0,0.774,36.89,63.11,0.18
2,25865.0,0.75,20.7,79.3,0.101
3,19979.0,0.76,15.57,84.43,0.076
4,15541.0,0.82,12.3,87.7,0.06
5,11347.0,0.892,9.84,90.16,0.048
6,8394.0,1.137,7.99,92.01,0.039
7,6342.0,1.448,6.35,93.65,0.031
8,4363.0,1.85,5.12,94.88,0.025
9,3168.0,2.242,4.51,95.49,0.022
10,2205.0,2.395,3.48,96.52,0.017
11,1397.0,2.551,2.87,97.13,0.014
12,992.0,2.795,2.25,97.75,0.011
13,625.0,2.589,1.84,98.16,0.009
14,446.0,2.49,1.43,98.57,0.007
15,358.0,2.661,1.02,98.98,0.005
16,334.0,2.659,1.02,98.98,0.005
17,329.0,2.945,1.02,98.98,0.005
18,324.0,3.789,1.02,98.98,0.005
19,322.0,3.103,0.82,99.18,0.004
20,320.0,2.98,0.82,99.18,0.004
21,318.0,2.897,0.61,99.39,0.003
22,317.0,3.26,0.82,99.18,0.004
23,316.0,3.146,0.82,99.18,0.004
24,316.0,3.066,0.82,99.18,0.004
25,316.0,3.202,0.82,99.18,0.004
26,316.0,3.204,0.82,99.18,0.004
27,316.0,3.193,0.82,99.18,0.004
28,316.0,3.205,0.82,99.18,0.004
29,316.0,3.31,0.82,99.18,0.004
30,316.0,3.282,0.82,99.18,0.004
