iter,fitness,time,XPL,XPT,DIV
0,23136.0,0.036,100.0,0.0,0.488
1,23136.0,0.056,77.87,22.13,0.38
2,22898.0,0.058,75.41,24.59,0.368
3,22898.0,0.056,78.89,21.11,0.385
4,22632.0,0.056,78.69,21.31,0.384
5,22539.0,0.056,78.28,21.72,0.382
6,22539.0,0.055,78.07,21.93,0.381
7,22539.0,0.056,77.87,22.13,0.38
8,22539.0,0.057,76.02,23.98,0.371
9,22539.0,0.056,78.07,21.93,0.381
10,22539.0,0.058,77.46,22.54,0.378
11,22539.0,0.056,78.48,21.52,0.383
12,22186.0,0.055,75.0,25.0,0.366
13,22186.0,0.055,76.84,23.16,0.375
14,22186.0,0.055,77.87,22.13,0.38
15,22186.0,0.056,76.43,23.57,0.373
16,21942.0,0.054,78.28,21.72,0.382
17,21942.0,0.056,76.64,23.36,0.374
18,21942.0,0.055,77.66,22.34,0.379
19,21942.0,0.055,78.07,21.93,0.381
20,21942.0,0.057,78.69,21.31,0.384
21,21942.0,0.056,79.3,20.7,0.387
22,21942.0,0.056,77.87,22.13,0.38
23,21942.0,0.056,77.87,22.13,0.38
24,21942.0,0.055,77.46,22.54,0.378
25,21942.0,0.054,78.48,21.52,0.383
26,21942.0,0.055,78.48,21.52,0.383
27,21942.0,0.057,77.87,22.13,0.38
28,21942.0,0.055,76.23,23.77,0.372
29,21942.0,0.055,77.25,22.75,0.377
30,21942.0,0.057,78.89,21.11,0.385
