iter,fitness,time,XPL,XPT,DIV
0,47722.0,0.066,100.0,0.0,0.488
1,17295.0,0.762,43.85,56.15,0.214
2,4656.0,2.193,18.24,81.76,0.089
3,1032.0,5.347,7.79,92.21,0.038
4,427.0,4.7,3.48,96.52,0.017
5,338.0,3.515,1.64,98.36,0.008
6,326.0,3.165,1.43,98.57,0.007
7,324.0,3.161,1.02,98.98,0.005
8,323.0,3.253,0.82,99.18,0.004
9,321.0,3.039,0.82,99.18,0.004
10,321.0,3.06,0.82,99.18,0.004
11,321.0,3.125,0.61,99.39,0.003
12,321.0,3.072,0.82,99.18,0.004
13,321.0,3.118,0.82,99.18,0.004
14,321.0,3.123,0.61,99.39,0.003
15,321.0,3.09,0.61,99.39,0.003
16,321.0,3.053,0.82,99.18,0.004
17,321.0,3.257,0.82,99.18,0.004
18,321.0,3.142,0.82,99.18,0.004
19,321.0,3.119,0.61,99.39,0.003
20,321.0,3.148,0.82,99.18,0.004
21,321.0,3.048,0.61,99.39,0.003
22,321.0,3.05,0.82,99.18,0.004
23,321.0,3.094,0.82,99.18,0.004
24,321.0,3.083,0.61,99.39,0.003
25,321.0,3.258,0.82,99.18,0.004
26,321.0,3.185,0.82,99.18,0.004
27,318.0,2.997,0.82,99.18,0.004
28,318.0,3.119,0.82,99.18,0.004
29,318.0,3.118,1.02,98.98,0.005
30,318.0,3.07,0.82,99.18,0.004
