iter,fitness,time,XPL,XPT,DIV
0,71195.0,0.11,100.0,0.0,0.488
1,26592.0,1.201,44.67,55.33,0.218
2,7496.0,1.173,16.39,83.61,0.08
3,1435.0,4.093,5.74,94.26,0.028
4,192.0,7.827,2.25,97.75,0.011
5,76.0,5.847,1.02,98.98,0.005
6,74.0,4.641,0.41,99.59,0.002
7,73.0,4.389,0.41,99.59,0.002
8,73.0,4.605,0.41,99.59,0.002
9,73.0,3.902,0.41,99.59,0.002
10,73.0,4.111,0.41,99.59,0.002
11,73.0,4.347,0.61,99.39,0.003
12,73.0,4.252,0.41,99.59,0.002
13,73.0,4.081,0.41,99.59,0.002
14,73.0,4.413,0.41,99.59,0.002
15,73.0,4.443,0.61,99.39,0.003
16,73.0,4.554,0.41,99.59,0.002
17,73.0,4.277,0.41,99.59,0.002
18,73.0,4.665,0.41,99.59,0.002
19,73.0,4.653,0.41,99.59,0.002
20,73.0,4.293,0.41,99.59,0.002
21,73.0,4.278,0.41,99.59,0.002
22,73.0,4.534,0.41,99.59,0.002
23,73.0,4.542,0.41,99.59,0.002
24,73.0,4.501,0.41,99.59,0.002
25,73.0,4.375,0.41,99.59,0.002
26,73.0,4.336,0.41,99.59,0.002
27,73.0,4.98,0.41,99.59,0.002
28,73.0,4.76,0.41,99.59,0.002
29,73.0,4.229,0.41,99.59,0.002
30,73.0,5.099,0.41,99.59,0.002
