iter,fitness,time,XPL,XPT,DIV
0,247228.0,0.511,100.0,0.0,0.487
1,95073.0,5.051,45.79,54.21,0.223
2,29591.0,4.998,17.25,82.75,0.084
3,7143.0,46.441,5.75,94.25,0.028
4,1257.0,188.751,2.46,97.54,0.012
5,268.0,154.119,1.23,98.77,0.006
6,188.0,108.033,0.62,99.38,0.003
7,182.0,98.891,0.41,99.59,0.002
8,179.0,91.677,0.21,99.79,0.001
9,179.0,95.315,0.21,99.79,0.001
10,178.0,92.069,0.21,99.79,0.001
11,178.0,91.908,0.21,99.79,0.001
12,177.0,91.932,0.21,99.79,0.001
13,176.0,90.37,0.21,99.79,0.001
14,175.0,91.476,0.21,99.79,0.001
15,174.0,86.591,0.21,99.79,0.001
16,174.0,89.075,0.21,99.79,0.001
17,174.0,85.205,0.21,99.79,0.001
18,174.0,89.873,0.21,99.79,0.001
19,174.0,88.042,0.21,99.79,0.001
20,174.0,87.617,0.21,99.79,0.001
21,174.0,90.164,0.21,99.79,0.001
22,174.0,85.565,0.21,99.79,0.001
23,174.0,86.569,0.21,99.79,0.001
24,174.0,88.3,0.21,99.79,0.001
25,174.0,88.561,0.21,99.79,0.001
26,174.0,88.005,0.21,99.79,0.001
27,174.0,90.463,0.21,99.79,0.001
28,174.0,89.949,0.21,99.79,0.001
29,174.0,87.624,0.21,99.79,0.001
30,174.0,86.467,0.21,99.79,0.001
