iter,fitness,time,XPL,XPT,DIV
0,244794.0,0.503,100.0,0.0,0.487
1,93548.0,5.182,46.0,54.0,0.224
2,29888.0,5.124,17.66,82.34,0.086
3,6896.0,5.188,5.54,94.46,0.027
4,1385.0,57.168,2.05,97.95,0.01
5,299.0,92.645,1.03,98.97,0.005
6,66.0,76.597,0.62,99.38,0.003
7,61.0,62.258,0.41,99.59,0.002
8,60.0,56.251,0.21,99.79,0.001
9,59.0,57.969,0.21,99.79,0.001
10,59.0,57.68,0.21,99.79,0.001
11,59.0,53.39,0.21,99.79,0.001
12,59.0,48.119,0.21,99.79,0.001
13,59.0,50.256,0.21,99.79,0.001
14,59.0,47.432,0.21,99.79,0.001
15,59.0,49.749,0.21,99.79,0.001
16,59.0,53.383,0.21,99.79,0.001
17,59.0,49.873,0.21,99.79,0.001
18,59.0,52.97,0.21,99.79,0.001
19,59.0,52.414,0.21,99.79,0.001
20,59.0,49.057,0.21,99.79,0.001
21,59.0,50.667,0.21,99.79,0.001
22,59.0,52.847,0.21,99.79,0.001
23,59.0,48.697,0.21,99.79,0.001
24,59.0,51.019,0.21,99.79,0.001
25,59.0,51.613,0.21,99.79,0.001
26,59.0,46.861,0.21,99.79,0.001
27,59.0,49.801,0.21,99.79,0.001
28,59.0,48.745,0.21,99.79,0.001
29,59.0,47.883,0.21,99.79,0.001
30,59.0,49.319,0.21,99.79,0.001
