iter,fitness,time,XPL,XPT,DIV
0,22383.0,0.034,100.0,0.0,0.487
1,9550.0,0.599,44.56,55.44,0.217
2,4681.0,1.427,22.18,77.82,0.108
3,2232.0,2.337,13.76,86.24,0.067
4,1207.0,2.397,8.01,91.99,0.039
5,572.0,2.209,4.72,95.28,0.023
6,542.0,2.032,2.05,97.95,0.01
7,533.0,2.02,1.85,98.15,0.009
8,529.0,2.001,1.64,98.36,0.008
9,528.0,2.07,1.64,98.36,0.008
10,528.0,1.871,1.44,98.56,0.007
11,528.0,1.977,1.85,98.15,0.009
12,525.0,1.844,1.44,98.56,0.007
13,524.0,1.871,1.44,98.56,0.007
14,524.0,1.917,1.44,98.56,0.007
15,524.0,1.933,1.44,98.56,0.007
16,524.0,1.775,1.23,98.77,0.006
17,524.0,1.844,1.44,98.56,0.007
18,524.0,1.815,1.44,98.56,0.007
19,524.0,1.853,1.64,98.36,0.008
20,524.0,1.991,1.44,98.56,0.007
21,524.0,1.831,1.23,98.77,0.006
22,523.0,1.916,1.44,98.56,0.007
23,523.0,1.924,1.44,98.56,0.007
24,522.0,1.788,1.23,98.77,0.006
25,520.0,1.832,1.44,98.56,0.007
26,520.0,1.887,1.85,98.15,0.009
27,520.0,1.757,1.23,98.77,0.006
28,520.0,1.851,1.64,98.36,0.008
29,520.0,1.894,1.44,98.56,0.007
30,520.0,1.83,1.44,98.56,0.007
