iter,fitness,time,XPL,XPT,DIV
0,69615.0,0.104,100.0,0.0,0.488
1,34720.0,1.133,44.88,55.12,0.219
2,17801.0,1.135,22.75,77.25,0.111
3,7274.0,1.113,11.89,88.11,0.058
4,3484.0,1.527,5.53,94.47,0.027
5,1571.0,4.532,3.48,96.52,0.017
6,535.0,5.529,2.25,97.75,0.011
7,187.0,5.551,1.43,98.57,0.007
8,88.0,5.502,0.82,99.18,0.004
9,82.0,4.46,0.61,99.39,0.003
10,82.0,4.638,0.41,99.59,0.002
11,80.0,4.337,0.41,99.59,0.002
12,79.0,4.699,0.41,99.59,0.002
13,79.0,4.911,0.41,99.59,0.002
14,79.0,4.656,0.41,99.59,0.002
15,79.0,4.293,0.41,99.59,0.002
16,79.0,4.611,0.41,99.59,0.002
17,79.0,4.635,0.41,99.59,0.002
18,79.0,4.099,0.41,99.59,0.002
19,79.0,4.442,0.41,99.59,0.002
20,79.0,4.4,0.41,99.59,0.002
21,79.0,4.432,0.41,99.59,0.002
22,79.0,4.093,0.41,99.59,0.002
23,79.0,4.322,0.41,99.59,0.002
24,79.0,4.058,0.41,99.59,0.002
25,79.0,4.231,0.2,99.8,0.001
26,79.0,4.238,0.41,99.59,0.002
27,79.0,4.369,0.41,99.59,0.002
28,79.0,4.325,0.41,99.59,0.002
29,79.0,4.416,0.41,99.59,0.002
30,79.0,4.149,0.41,99.59,0.002
