iter,fitness,time,XPL,XPT,DIV
0,246680.0,0.55,100.0,0.0,0.487
1,110145.0,4.641,45.38,54.62,0.221
2,54922.0,4.605,20.74,79.26,0.101
3,26748.0,4.561,10.47,89.53,0.051
4,12885.0,13.554,5.13,94.87,0.025
5,5323.0,92.606,3.29,96.71,0.016
6,2565.0,134.754,1.85,98.15,0.009
7,903.0,127.785,1.23,98.77,0.006
8,315.0,115.951,0.82,99.18,0.004
9,196.0,114.121,0.62,99.38,0.003
10,187.0,106.72,0.41,99.59,0.002
11,182.0,113.933,0.41,99.59,0.002
12,178.0,111.24,0.41,99.59,0.002
13,178.0,99.494,0.21,99.79,0.001
14,177.0,99.504,0.21,99.79,0.001
15,177.0,96.032,0.21,99.79,0.001
16,177.0,104.598,0.41,99.59,0.002
17,176.0,103.387,0.41,99.59,0.002
18,176.0,101.077,0.41,99.59,0.002
19,176.0,99.715,0.21,99.79,0.001
20,176.0,99.024,0.21,99.79,0.001
21,175.0,102.257,0.21,99.79,0.001
22,175.0,101.36,0.21,99.79,0.001
23,175.0,94.754,0.21,99.79,0.001
24,175.0,95.081,0.21,99.79,0.001
25,175.0,96.911,0.21,99.79,0.001
26,175.0,93.618,0.21,99.79,0.001
27,175.0,94.161,0.21,99.79,0.001
28,175.0,95.849,0.21,99.79,0.001
29,175.0,96.731,0.21,99.79,0.001
30,175.0,96.77,0.21,99.79,0.001
