iter,fitness,time,XPL,XPT,DIV
0,244764.0,0.516,100.0,0.0,0.487
1,123377.0,4.726,46.0,54.0,0.224
2,65035.0,4.786,23.0,77.0,0.112
3,30596.0,4.673,12.11,87.89,0.059
4,14536.0,4.68,5.95,94.05,0.029
5,6203.0,6.447,2.87,97.13,0.014
6,2638.0,34.929,1.64,98.36,0.008
7,1030.0,72.56,1.23,98.77,0.006
8,352.0,72.986,0.82,99.18,0.004
9,85.0,72.265,0.41,99.59,0.002
10,60.0,60.719,0.41,99.59,0.002
11,59.0,56.445,0.21,99.79,0.001
12,58.0,57.931,0.21,99.79,0.001
13,58.0,63.168,0.21,99.79,0.001
14,58.0,53.602,0.21,99.79,0.001
15,58.0,51.44,0.21,99.79,0.001
16,58.0,51.283,0.21,99.79,0.001
17,58.0,52.048,0.21,99.79,0.001
18,58.0,52.471,0.21,99.79,0.001
19,58.0,53.03,0.21,99.79,0.001
20,58.0,53.819,0.21,99.79,0.001
21,58.0,51.041,0.21,99.79,0.001
22,58.0,46.973,0.21,99.79,0.001
23,58.0,51.695,0.21,99.79,0.001
24,58.0,49.804,0.21,99.79,0.001
25,58.0,50.264,0.21,99.79,0.001
26,58.0,47.249,0.21,99.79,0.001
27,58.0,49.409,0.21,99.79,0.001
28,58.0,48.853,0.21,99.79,0.001
29,58.0,53.469,0.21,99.79,0.001
30,58.0,46.343,0.21,99.79,0.001
