iter,fitness,time,XPL,XPT,DIV
0,22471.0,0.034,100.0,0.0,0.487
1,7098.0,0.589,44.97,55.03,0.219
2,1375.0,1.991,16.43,83.57,0.08
3,582.0,1.764,4.93,95.07,0.024
4,533.0,1.249,2.05,97.95,0.01
5,525.0,1.146,1.85,98.15,0.009
6,523.0,1.117,1.64,98.36,0.008
7,521.0,1.186,2.05,97.95,0.01
8,521.0,1.187,1.64,98.36,0.008
9,521.0,1.192,2.05,97.95,0.01
10,521.0,1.147,2.05,97.95,0.01
11,521.0,1.17,1.85,98.15,0.009
12,521.0,1.164,1.85,98.15,0.009
13,520.0,1.137,1.64,98.36,0.008
14,520.0,1.161,1.85,98.15,0.009
15,520.0,1.141,1.85,98.15,0.009
16,520.0,1.19,1.85,98.15,0.009
17,520.0,1.139,1.64,98.36,0.008
18,520.0,1.135,1.64,98.36,0.008
19,520.0,1.115,1.44,98.56,0.007
20,520.0,1.06,1.23,98.77,0.006
21,520.0,1.098,1.64,98.36,0.008
22,520.0,1.137,1.64,98.36,0.008
23,520.0,1.077,1.44,98.56,0.007
24,520.0,1.089,1.44,98.56,0.007
25,520.0,1.101,1.23,98.77,0.006
26,520.0,1.117,1.44,98.56,0.007
27,520.0,1.12,1.44,98.56,0.007
28,520.0,1.094,1.44,98.56,0.007
29,520.0,1.112,1.44,98.56,0.007
30,520.0,1.079,1.44,98.56,0.007
