iter,fitness,time,XPL,XPT,DIV
0,48905.0,0.068,100.0,0.0,0.488
1,32346.0,0.794,39.75,60.25,0.194
2,21554.0,0.81,27.05,72.95,0.132
3,14038.0,0.895,18.44,81.56,0.09
4,8928.0,1.24,13.11,86.89,0.064
5,5558.0,1.947,9.43,90.57,0.046
6,3479.0,2.541,6.97,93.03,0.034
7,2086.0,3.288,5.33,94.67,0.026
8,1134.0,3.321,3.69,96.31,0.018
9,631.0,3.766,2.46,97.54,0.012
10,427.0,3.225,1.43,98.57,0.007
11,358.0,3.067,1.23,98.77,0.006
12,331.0,3.009,1.23,98.77,0.006
13,327.0,3.149,1.02,98.98,0.005
14,323.0,2.971,1.02,98.98,0.005
15,322.0,3.124,0.82,99.18,0.004
16,319.0,3.083,1.02,98.98,0.005
17,319.0,3.201,1.02,98.98,0.005
18,319.0,2.998,0.82,99.18,0.004
19,319.0,3.148,1.02,98.98,0.005
20,319.0,3.027,1.02,98.98,0.005
21,319.0,3.393,1.02,98.98,0.005
22,319.0,3.06,1.02,98.98,0.005
23,319.0,3.275,1.02,98.98,0.005
24,316.0,3.155,1.02,98.98,0.005
25,316.0,3.303,1.02,98.98,0.005
26,316.0,3.117,0.82,99.18,0.004
27,316.0,3.227,1.02,98.98,0.005
28,316.0,3.26,0.82,99.18,0.004
29,316.0,3.379,0.82,99.18,0.004
30,315.0,3.398,1.02,98.98,0.005
