iter,fitness,time,XPL,XPT,DIV
0,70415.0,0.117,100.0,0.0,0.488
1,48178.0,1.243,39.34,60.66,0.192
2,32661.0,1.246,26.84,73.16,0.131
3,21461.0,1.201,18.65,81.35,0.091
4,13295.0,1.272,12.7,87.3,0.062
5,8801.0,1.218,7.99,92.01,0.039
6,5407.0,1.243,5.74,94.26,0.028
7,3222.0,1.846,3.69,96.31,0.018
8,1735.0,3.51,3.07,96.93,0.015
9,799.0,5.057,2.46,97.54,0.012
10,398.0,5.149,1.43,98.57,0.007
11,150.0,5.093,1.23,98.77,0.006
12,97.0,5.205,0.82,99.18,0.004
13,89.0,4.957,0.61,99.39,0.003
14,87.0,5.206,0.41,99.59,0.002
15,85.0,4.917,0.41,99.59,0.002
16,85.0,5.043,0.41,99.59,0.002
17,84.0,5.165,0.41,99.59,0.002
18,84.0,5.099,0.41,99.59,0.002
19,84.0,4.833,0.2,99.8,0.001
20,84.0,5.047,0.41,99.59,0.002
21,84.0,4.779,0.41,99.59,0.002
22,84.0,4.713,0.41,99.59,0.002
23,84.0,4.778,0.41,99.59,0.002
24,84.0,4.814,0.41,99.59,0.002
25,84.0,5.181,0.41,99.59,0.002
26,84.0,5.117,0.41,99.59,0.002
27,84.0,5.174,0.41,99.59,0.002
28,84.0,5.105,0.41,99.59,0.002
29,84.0,5.264,0.41,99.59,0.002
30,84.0,5.448,0.41,99.59,0.002
