iter,fitness,time,XPL,XPT,DIV
0,248102.0,0.531,100.0,0.0,0.488
1,171271.0,4.735,40.78,59.22,0.199
2,117976.0,4.756,28.48,71.52,0.139
3,78239.0,4.85,20.08,79.92,0.098
4,51297.0,4.826,13.73,86.27,0.067
5,33794.0,4.796,9.22,90.78,0.045
6,21244.0,4.838,6.15,93.85,0.03
7,12759.0,8.25,4.1,95.9,0.02
8,7867.0,40.665,2.87,97.13,0.014
9,4580.0,84.533,2.25,97.75,0.011
10,2782.0,105.798,1.84,98.16,0.009
11,1600.0,114.962,1.43,98.57,0.007
12,892.0,111.694,1.02,98.98,0.005
13,406.0,109.153,0.82,99.18,0.004
14,239.0,113.824,0.61,99.39,0.003
15,197.0,104.228,0.61,99.39,0.003
16,186.0,105.907,0.41,99.59,0.002
17,182.0,102.173,0.41,99.59,0.002
18,180.0,98.953,0.2,99.8,0.001
19,179.0,96.931,0.2,99.8,0.001
20,178.0,101.095,0.2,99.8,0.001
21,178.0,102.828,0.41,99.59,0.002
22,178.0,102.199,0.2,99.8,0.001
23,178.0,104.235,0.2,99.8,0.001
24,178.0,105.35,0.2,99.8,0.001
25,178.0,99.918,0.2,99.8,0.001
26,178.0,101.827,0.2,99.8,0.001
27,178.0,103.375,0.2,99.8,0.001
28,177.0,100.713,0.2,99.8,0.001
29,176.0,98.239,0.2,99.8,0.001
30,176.0,100.564,0.2,99.8,0.001
