iter,fitness,time,XPL,XPT,DIV
0,246567.0,0.504,100.0,0.0,0.488
1,170262.0,4.266,40.98,59.02,0.2
2,116713.0,4.282,28.69,71.31,0.14
3,79609.0,4.271,19.88,80.12,0.097
4,53430.0,4.254,13.73,86.27,0.067
5,35013.0,4.244,9.22,90.78,0.045
6,22858.0,4.253,6.35,93.65,0.031
7,14511.0,4.245,4.1,95.9,0.02
8,9027.0,4.321,2.87,97.13,0.014
9,5461.0,7.942,1.84,98.16,0.009
10,3002.0,16.904,1.43,98.57,0.007
11,1689.0,42.188,1.23,98.77,0.006
12,856.0,45.912,0.82,99.18,0.004
13,325.0,46.508,0.61,99.39,0.003
14,83.0,44.492,0.41,99.59,0.002
15,63.0,42.548,0.2,99.8,0.001
16,59.0,43.641,0.2,99.8,0.001
17,59.0,44.372,0.2,99.8,0.001
18,59.0,46.083,0.2,99.8,0.001
19,59.0,41.253,0.2,99.8,0.001
20,59.0,43.408,0.2,99.8,0.001
21,59.0,41.365,0.2,99.8,0.001
22,59.0,45.183,0.2,99.8,0.001
23,59.0,42.02,0.2,99.8,0.001
24,59.0,43.711,0.2,99.8,0.001
25,59.0,43.784,0.2,99.8,0.001
26,59.0,45.046,0.2,99.8,0.001
27,59.0,43.631,0.2,99.8,0.001
28,59.0,40.31,0.2,99.8,0.001
29,58.0,39.803,0.2,99.8,0.001
30,58.0,45.838,0.2,99.8,0.001
