iter,fitness,time,XPL,XPT,DIV
0,48560.0,0.068,100.0,0.0,0.487
1,28707.0,0.676,44.56,55.44,0.217
2,17172.0,0.701,26.49,73.51,0.129
3,9611.0,0.916,16.43,83.57,0.08
4,5179.0,2.04,10.68,89.32,0.052
5,2842.0,3.22,8.01,91.99,0.039
6,1388.0,3.418,4.93,95.07,0.024
7,738.0,3.533,3.49,96.51,0.017
8,430.0,3.573,2.05,97.95,0.01
9,360.0,3.893,1.64,98.36,0.008
10,339.0,3.632,1.23,98.77,0.006
11,333.0,3.635,1.23,98.77,0.006
12,330.0,3.449,1.03,98.97,0.005
13,324.0,3.558,1.23,98.77,0.006
14,323.0,3.435,1.03,98.97,0.005
15,322.0,3.504,1.23,98.77,0.006
16,322.0,3.363,0.82,99.18,0.004
17,322.0,3.259,0.82,99.18,0.004
18,321.0,3.372,0.82,99.18,0.004
19,318.0,3.172,0.82,99.18,0.004
20,318.0,3.218,1.03,98.97,0.005
21,317.0,3.173,1.03,98.97,0.005
22,316.0,3.096,0.82,99.18,0.004
23,316.0,3.079,0.82,99.18,0.004
24,316.0,3.181,1.03,98.97,0.005
25,316.0,3.167,1.03,98.97,0.005
26,316.0,3.059,0.82,99.18,0.004
27,316.0,3.199,0.82,99.18,0.004
28,316.0,3.228,1.03,98.97,0.005
29,316.0,3.082,1.03,98.97,0.005
30,316.0,3.081,1.23,98.77,0.006
