iter,fitness,time,XPL,XPT,DIV
0,71805.0,0.103,100.0,0.0,0.488
1,42982.0,0.997,45.9,54.1,0.224
2,25311.0,0.979,27.87,72.13,0.136
3,14396.0,0.973,17.21,82.79,0.084
4,7897.0,1.007,10.25,89.75,0.05
5,4181.0,1.139,6.15,93.85,0.03
6,2019.0,2.498,3.89,96.11,0.019
7,1008.0,4.438,3.07,96.93,0.015
8,404.0,4.752,2.05,97.95,0.01
9,159.0,4.541,1.23,98.77,0.006
10,90.0,4.353,0.82,99.18,0.004
11,84.0,4.519,0.41,99.59,0.002
12,81.0,4.652,0.61,99.39,0.003
13,81.0,4.428,0.61,99.39,0.003
14,81.0,4.471,0.61,99.39,0.003
15,81.0,4.647,0.61,99.39,0.003
16,79.0,4.479,0.61,99.39,0.003
17,79.0,4.386,0.41,99.59,0.002
18,79.0,4.35,0.41,99.59,0.002
19,79.0,4.137,0.41,99.59,0.002
20,79.0,4.33,0.41,99.59,0.002
21,79.0,4.136,0.41,99.59,0.002
22,79.0,4.075,0.41,99.59,0.002
23,79.0,4.15,0.41,99.59,0.002
24,79.0,4.16,0.41,99.59,0.002
25,79.0,4.319,0.41,99.59,0.002
26,79.0,3.874,0.41,99.59,0.002
27,79.0,3.706,0.41,99.59,0.002
28,79.0,3.907,0.41,99.59,0.002
29,79.0,3.865,0.41,99.59,0.002
30,79.0,4.09,0.41,99.59,0.002
