iter,fitness,time,XPL,XPT,DIV
0,247933.0,0.572,100.0,0.0,0.488
1,151747.0,4.551,45.49,54.51,0.222
2,91721.0,4.389,28.28,71.72,0.138
3,55536.0,4.337,17.21,82.79,0.084
4,33536.0,4.354,10.45,89.55,0.051
5,18691.0,5.04,6.56,93.44,0.032
6,10061.0,26.262,4.1,95.9,0.02
7,5187.0,88.107,2.87,97.13,0.014
8,2544.0,121.614,2.25,97.75,0.011
9,1271.0,122.602,1.43,98.57,0.007
10,470.0,117.374,1.02,98.98,0.005
11,207.0,106.088,0.61,99.39,0.003
12,183.0,99.763,0.41,99.59,0.002
13,180.0,99.111,0.2,99.8,0.001
14,180.0,103.959,0.41,99.59,0.002
15,180.0,104.333,0.41,99.59,0.002
16,180.0,101.812,0.41,99.59,0.002
17,180.0,102.017,0.41,99.59,0.002
18,180.0,102.278,0.41,99.59,0.002
19,180.0,97.448,0.2,99.8,0.001
20,180.0,93.756,0.2,99.8,0.001
21,179.0,97.419,0.41,99.59,0.002
22,179.0,97.393,0.41,99.59,0.002
23,178.0,93.345,0.2,99.8,0.001
24,178.0,89.799,0.2,99.8,0.001
25,177.0,93.328,0.2,99.8,0.001
26,177.0,93.595,0.2,99.8,0.001
27,177.0,87.711,0.2,99.8,0.001
28,177.0,91.656,0.2,99.8,0.001
29,177.0,87.36,0.2,99.8,0.001
30,177.0,87.943,0.2,99.8,0.001
