iter,fitness,time,XPL,XPT,DIV
0,247107.0,0.54,100.0,0.0,0.488
1,150623.0,4.518,45.9,54.1,0.224
2,91669.0,4.535,28.28,71.72,0.138
3,54080.0,4.49,17.42,82.58,0.085
4,31334.0,4.642,10.45,89.55,0.051
5,17186.0,4.534,6.15,93.85,0.03
6,8724.0,4.506,3.48,96.52,0.017
7,4216.0,9.951,1.84,98.16,0.009
8,2128.0,42.319,1.43,98.57,0.007
9,846.0,66.318,1.02,98.98,0.005
10,305.0,73.914,0.82,99.18,0.004
11,89.0,68.33,0.61,99.39,0.003
12,65.0,63.145,0.41,99.59,0.002
13,60.0,63.821,0.2,99.8,0.001
14,58.0,62.977,0.2,99.8,0.001
15,58.0,60.437,0.2,99.8,0.001
16,58.0,61.249,0.2,99.8,0.001
17,58.0,59.888,0.2,99.8,0.001
18,58.0,58.677,0.2,99.8,0.001
19,58.0,53.351,0.2,99.8,0.001
20,58.0,55.551,0.2,99.8,0.001
21,58.0,54.294,0.2,99.8,0.001
22,58.0,56.124,0.2,99.8,0.001
23,58.0,52.764,0.2,99.8,0.001
24,58.0,53.215,0.2,99.8,0.001
25,58.0,51.1,0.2,99.8,0.001
26,58.0,56.344,0.2,99.8,0.001
27,58.0,52.604,0.2,99.8,0.001
28,58.0,53.48,0.2,99.8,0.001
29,58.0,54.975,0.2,99.8,0.001
30,58.0,58.144,0.2,99.8,0.001
