iter,fitness,time,XPL,XPT,DIV
0,49376.0,0.073,100.0,0.0,0.488
1,17639.0,0.745,44.88,55.12,0.219
2,4657.0,2.393,17.42,82.58,0.085
3,823.0,5.823,7.38,92.62,0.036
4,376.0,5.166,3.07,96.93,0.015
5,333.0,3.695,1.23,98.77,0.006
6,321.0,3.477,1.23,98.77,0.006
7,316.0,3.331,1.02,98.98,0.005
8,315.0,3.293,1.02,98.98,0.005
9,315.0,3.156,0.82,99.18,0.004
10,315.0,3.266,0.82,99.18,0.004
11,315.0,3.333,0.82,99.18,0.004
12,315.0,3.23,0.82,99.18,0.004
13,315.0,3.224,0.82,99.18,0.004
14,315.0,3.721,1.02,98.98,0.005
15,315.0,3.485,0.82,99.18,0.004
16,315.0,3.563,1.02,98.98,0.005
17,315.0,3.298,0.82,99.18,0.004
18,315.0,3.459,1.02,98.98,0.005
19,315.0,3.688,1.02,98.98,0.005
20,315.0,3.796,1.02,98.98,0.005
21,315.0,3.566,0.82,99.18,0.004
22,315.0,3.458,1.02,98.98,0.005
23,315.0,3.335,0.82,99.18,0.004
24,315.0,3.205,1.02,98.98,0.005
25,315.0,3.24,1.02,98.98,0.005
26,315.0,3.238,1.02,98.98,0.005
27,315.0,3.285,1.02,98.98,0.005
28,315.0,3.204,1.02,98.98,0.005
29,315.0,3.247,0.82,99.18,0.004
30,315.0,3.193,1.02,98.98,0.005
