iter,fitness,time,XPL,XPT,DIV
0,71650.0,0.11,100.0,0.0,0.487
1,26289.0,1.228,45.59,54.41,0.222
2,7142.0,1.14,16.84,83.16,0.082
3,1568.0,3.524,6.16,93.84,0.03
4,197.0,8.361,2.46,97.54,0.012
5,89.0,5.48,0.82,99.18,0.004
6,86.0,5.073,0.41,99.59,0.002
7,86.0,5.011,0.41,99.59,0.002
8,85.0,5.195,0.41,99.59,0.002
9,84.0,4.821,0.41,99.59,0.002
10,81.0,5.067,0.41,99.59,0.002
11,80.0,4.789,0.41,99.59,0.002
12,80.0,4.904,0.41,99.59,0.002
13,80.0,5.372,0.41,99.59,0.002
14,79.0,5.234,0.41,99.59,0.002
15,79.0,5.503,0.41,99.59,0.002
16,79.0,5.088,0.41,99.59,0.002
17,79.0,5.205,0.41,99.59,0.002
18,79.0,4.866,0.41,99.59,0.002
19,79.0,5.792,0.41,99.59,0.002
20,79.0,5.743,0.41,99.59,0.002
21,79.0,5.626,0.41,99.59,0.002
22,79.0,5.151,0.41,99.59,0.002
23,79.0,5.459,0.41,99.59,0.002
24,79.0,5.26,0.41,99.59,0.002
25,79.0,5.15,0.41,99.59,0.002
26,79.0,5.179,0.41,99.59,0.002
27,79.0,5.071,0.41,99.59,0.002
28,79.0,4.925,0.41,99.59,0.002
29,79.0,5.418,0.41,99.59,0.002
30,79.0,5.1,0.41,99.59,0.002
