iter,fitness,time,XPL,XPT,DIV
0,72856.0,0.109,100.0,0.0,0.487
1,33402.0,1.277,46.2,53.8,0.225
2,16890.0,1.216,21.36,78.64,0.104
3,7571.0,1.215,10.88,89.12,0.053
4,2758.0,2.353,5.34,94.66,0.026
5,1032.0,5.429,3.49,96.51,0.017
6,336.0,5.884,1.85,98.15,0.009
7,103.0,5.42,1.23,98.77,0.006
8,78.0,4.659,0.62,99.38,0.003
9,76.0,4.399,0.41,99.59,0.002
10,75.0,4.509,0.41,99.59,0.002
11,75.0,4.864,0.62,99.38,0.003
12,74.0,4.589,0.62,99.38,0.003
13,74.0,4.64,0.41,99.59,0.002
14,74.0,4.502,0.62,99.38,0.003
15,73.0,4.504,0.41,99.59,0.002
16,73.0,4.465,0.62,99.38,0.003
17,73.0,4.508,0.41,99.59,0.002
18,72.0,4.179,0.41,99.59,0.002
19,72.0,4.658,0.41,99.59,0.002
20,72.0,4.4,0.41,99.59,0.002
21,72.0,4.153,0.41,99.59,0.002
22,72.0,4.476,0.41,99.59,0.002
23,72.0,4.379,0.41,99.59,0.002
24,72.0,4.589,0.41,99.59,0.002
25,72.0,4.472,0.41,99.59,0.002
26,72.0,4.589,0.62,99.38,0.003
27,72.0,4.263,0.41,99.59,0.002
28,72.0,4.282,0.41,99.59,0.002
29,72.0,4.066,0.41,99.59,0.002
30,72.0,4.294,0.41,99.59,0.002
