iter,fitness,time,XPL,XPT,DIV
0,247902.0,0.543,100.0,0.0,0.488
1,111881.0,4.93,46.52,53.48,0.227
2,56279.0,5.236,21.52,78.48,0.105
3,27805.0,5.159,10.86,89.14,0.053
4,13381.0,10.157,5.74,94.26,0.028
5,5830.0,85.121,3.48,96.52,0.017
6,2479.0,143.937,2.25,97.75,0.011
7,1002.0,160.157,1.64,98.36,0.008
8,352.0,141.189,1.02,98.98,0.005
9,209.0,120.321,0.61,99.39,0.003
10,188.0,120.876,0.61,99.39,0.003
11,182.0,109.475,0.41,99.59,0.002
12,176.0,113.599,0.41,99.59,0.002
13,171.0,102.273,0.2,99.8,0.001
14,171.0,93.179,0.2,99.8,0.001
15,171.0,94.865,0.2,99.8,0.001
16,170.0,97.911,0.2,99.8,0.001
17,170.0,98.435,0.2,99.8,0.001
18,170.0,95.005,0.2,99.8,0.001
19,170.0,101.032,0.2,99.8,0.001
20,170.0,96.221,0.2,99.8,0.001
21,170.0,94.874,0.2,99.8,0.001
22,170.0,91.656,0.2,99.8,0.001
23,170.0,94.065,0.2,99.8,0.001
24,170.0,101.369,0.2,99.8,0.001
25,170.0,92.922,0.2,99.8,0.001
26,170.0,104.257,0.2,99.8,0.001
27,170.0,105.151,0.2,99.8,0.001
28,170.0,101.13,0.2,99.8,0.001
29,170.0,115.788,0.2,99.8,0.001
30,170.0,96.754,0.2,99.8,0.001
