iter,fitness,time,XPL,XPT,DIV
0,242145.0,0.505,100.0,0.0,0.488
1,107626.0,4.635,45.9,54.1,0.224
2,51516.0,4.553,20.29,79.71,0.099
3,26470.0,4.526,9.84,90.16,0.048
4,13077.0,4.518,4.92,95.08,0.024
5,6020.0,5.779,2.66,97.34,0.013
6,2355.0,39.088,1.64,98.36,0.008
7,1002.0,64.406,1.23,98.77,0.006
8,331.0,76.451,0.82,99.18,0.004
9,65.0,68.288,0.61,99.39,0.003
10,61.0,57.032,0.41,99.59,0.002
11,60.0,57.277,0.2,99.8,0.001
12,59.0,59.749,0.41,99.59,0.002
13,58.0,54.599,0.2,99.8,0.001
14,57.0,48.957,0.2,99.8,0.001
15,57.0,51.259,0.2,99.8,0.001
16,56.0,48.925,0.2,99.8,0.001
17,56.0,48.801,0.2,99.8,0.001
18,56.0,45.991,0.2,99.8,0.001
19,56.0,46.474,0.2,99.8,0.001
20,56.0,44.028,0.2,99.8,0.001
21,55.0,45.074,0.2,99.8,0.001
22,55.0,46.049,0.2,99.8,0.001
23,55.0,46.737,0.2,99.8,0.001
24,55.0,44.118,0.2,99.8,0.001
25,55.0,43.128,0.2,99.8,0.001
26,55.0,43.806,0.2,99.8,0.001
27,55.0,43.049,0.2,99.8,0.001
28,55.0,44.587,0.2,99.8,0.001
29,55.0,42.768,0.2,99.8,0.001
30,55.0,42.803,0.2,99.8,0.001
