iter,fitness,time,XPL,XPT,DIV
0,23614.0,0.033,100.0,0.0,0.488
1,7244.0,0.577,45.49,54.51,0.222
2,1409.0,2.083,16.19,83.81,0.079
3,547.0,1.891,3.89,96.11,0.019
4,532.0,1.216,1.64,98.36,0.008
5,523.0,1.157,1.84,98.16,0.009
6,522.0,1.188,1.64,98.36,0.008
7,520.0,1.211,1.84,98.16,0.009
8,520.0,1.174,1.64,98.36,0.008
9,520.0,1.141,1.84,98.16,0.009
10,520.0,1.174,1.84,98.16,0.009
11,520.0,1.124,1.64,98.36,0.008
12,520.0,1.21,1.64,98.36,0.008
13,520.0,1.141,1.43,98.57,0.007
14,520.0,1.132,1.43,98.57,0.007
15,520.0,1.15,1.64,98.36,0.008
16,520.0,1.158,1.64,98.36,0.008
17,520.0,1.162,1.64,98.36,0.008
18,520.0,1.143,1.64,98.36,0.008
19,520.0,1.141,1.64,98.36,0.008
20,520.0,1.16,1.43,98.57,0.007
21,520.0,1.126,1.43,98.57,0.007
22,520.0,1.136,1.43,98.57,0.007
23,520.0,1.085,1.64,98.36,0.008
24,520.0,1.114,1.64,98.36,0.008
25,520.0,1.151,1.64,98.36,0.008
26,520.0,1.161,1.64,98.36,0.008
27,520.0,1.166,1.64,98.36,0.008
28,520.0,1.15,1.43,98.57,0.007
29,520.0,1.143,1.43,98.57,0.007
30,520.0,1.186,1.43,98.57,0.007
