iter,fitness,time,XPL,XPT,DIV
0,49512.0,0.071,100.0,0.0,0.488
1,32778.0,0.755,40.57,59.43,0.198
2,21809.0,0.777,27.66,72.34,0.135
3,14422.0,0.817,19.26,80.74,0.094
4,9323.0,1.239,13.32,86.68,0.065
5,5876.0,1.747,9.63,90.37,0.047
6,3546.0,2.526,7.17,92.83,0.035
7,2002.0,2.95,5.74,94.26,0.028
8,1260.0,3.36,4.51,95.49,0.022
9,762.0,3.244,3.07,96.93,0.015
10,477.0,3.316,2.25,97.75,0.011
11,376.0,3.332,1.64,98.36,0.008
12,348.0,3.209,1.43,98.57,0.007
13,331.0,3.454,1.23,98.77,0.006
14,327.0,3.182,1.02,98.98,0.005
15,316.0,3.475,0.82,99.18,0.004
16,316.0,3.466,0.82,99.18,0.004
17,316.0,4.001,0.82,99.18,0.004
18,315.0,3.786,0.82,99.18,0.004
19,315.0,5.053,0.82,99.18,0.004
20,315.0,3.431,0.82,99.18,0.004
21,315.0,3.531,0.82,99.18,0.004
22,315.0,3.497,0.82,99.18,0.004
23,315.0,3.387,0.82,99.18,0.004
24,315.0,3.38,0.82,99.18,0.004
25,315.0,3.567,0.82,99.18,0.004
26,315.0,3.862,1.02,98.98,0.005
27,315.0,3.571,0.82,99.18,0.004
28,315.0,3.924,0.82,99.18,0.004
29,315.0,3.45,0.82,99.18,0.004
30,315.0,3.69,0.82,99.18,0.004
