iter,fitness,time,XPL,XPT,DIV
0,23360.0,0.052,100.0,0.0,0.487
1,13420.0,0.43,45.38,54.62,0.221
2,7485.0,0.646,27.93,72.07,0.136
3,4204.0,1.388,18.89,81.11,0.092
4,2285.0,1.839,11.91,88.09,0.058
5,1237.0,1.713,6.98,93.02,0.034
6,753.0,1.994,4.31,95.69,0.021
7,578.0,1.882,3.08,96.92,0.015
8,549.0,1.97,2.26,97.74,0.011
9,541.0,1.975,2.05,97.95,0.01
10,540.0,1.881,2.05,97.95,0.01
11,540.0,1.958,2.46,97.54,0.012
12,534.0,1.845,2.05,97.95,0.01
13,533.0,1.903,2.26,97.74,0.011
14,522.0,1.866,1.64,98.36,0.008
15,520.0,1.752,1.64,98.36,0.008
16,520.0,1.804,1.64,98.36,0.008
17,520.0,1.836,1.64,98.36,0.008
18,520.0,1.724,1.64,98.36,0.008
19,520.0,1.821,1.44,98.56,0.007
20,520.0,1.797,1.85,98.15,0.009
21,520.0,1.759,1.85,98.15,0.009
22,520.0,1.686,1.44,98.56,0.007
23,520.0,1.698,1.64,98.36,0.008
24,520.0,1.684,1.44,98.56,0.007
25,520.0,1.782,1.85,98.15,0.009
26,520.0,1.653,1.44,98.56,0.007
27,520.0,1.702,1.64,98.36,0.008
28,520.0,1.657,1.64,98.36,0.008
29,520.0,1.774,1.64,98.36,0.008
30,520.0,1.716,1.64,98.36,0.008
