iter,fitness,time,XPL,XPT,DIV
0,71431.0,0.108,100.0,0.0,0.487
1,42698.0,1.061,45.79,54.21,0.223
2,24784.0,1.05,28.34,71.66,0.138
3,13917.0,1.043,17.25,82.75,0.084
4,7304.0,1.04,10.06,89.94,0.049
5,3923.0,1.347,5.54,94.46,0.027
6,2086.0,2.693,3.49,96.51,0.017
7,792.0,4.39,2.67,97.33,0.013
8,292.0,4.948,1.64,98.36,0.008
9,93.0,4.927,1.23,98.77,0.006
10,75.0,4.701,0.62,99.38,0.003
11,73.0,4.59,0.41,99.59,0.002
12,72.0,4.928,0.41,99.59,0.002
13,72.0,4.891,0.41,99.59,0.002
14,72.0,4.573,0.41,99.59,0.002
15,72.0,4.438,0.41,99.59,0.002
16,72.0,4.515,0.41,99.59,0.002
17,72.0,4.366,0.41,99.59,0.002
18,72.0,4.489,0.21,99.79,0.001
19,72.0,4.482,0.41,99.59,0.002
20,72.0,4.384,0.21,99.79,0.001
21,72.0,4.132,0.21,99.79,0.001
22,72.0,4.131,0.21,99.79,0.001
23,72.0,4.367,0.21,99.79,0.001
24,72.0,4.164,0.21,99.79,0.001
25,72.0,4.078,0.21,99.79,0.001
26,72.0,4.144,0.21,99.79,0.001
27,72.0,4.312,0.41,99.59,0.002
28,72.0,4.098,0.41,99.59,0.002
29,72.0,4.164,0.41,99.59,0.002
30,72.0,4.277,0.41,99.59,0.002
