iter,fitness,time,XPL,XPT,DIV
0,24042.0,0.034,100.0,0.0,0.488
1,16286.0,0.382,37.5,62.5,0.183
2,12198.0,0.437,20.7,79.3,0.101
3,9219.0,0.528,15.78,84.22,0.077
4,6647.0,0.706,12.3,87.7,0.06
5,4842.0,0.918,10.25,89.75,0.05
6,3701.0,1.043,7.79,92.21,0.038
7,2741.0,1.105,6.76,93.24,0.033
8,1934.0,1.219,5.74,94.26,0.028
9,1442.0,1.186,4.51,95.49,0.022
10,992.0,1.284,3.28,96.72,0.016
11,781.0,1.263,2.66,97.34,0.013
12,634.0,1.335,2.05,97.95,0.01
13,547.0,1.295,1.64,98.36,0.008
14,535.0,1.293,1.23,98.77,0.006
15,525.0,1.287,1.02,98.98,0.005
16,524.0,1.425,1.23,98.77,0.006
17,523.0,1.41,1.43,98.57,0.007
18,520.0,1.472,1.23,98.77,0.006
19,520.0,1.466,1.02,98.98,0.005
20,520.0,1.568,1.43,98.57,0.007
21,520.0,1.574,1.43,98.57,0.007
22,520.0,1.681,1.23,98.77,0.006
23,520.0,1.649,1.64,98.36,0.008
24,520.0,1.683,1.64,98.36,0.008
25,520.0,1.712,1.43,98.57,0.007
26,520.0,1.63,1.43,98.57,0.007
27,520.0,1.635,1.43,98.57,0.007
28,520.0,1.728,1.43,98.57,0.007
29,520.0,1.672,1.43,98.57,0.007
30,520.0,1.732,1.43,98.57,0.007
