MH,FITNESS
SCA,316.0
SCA,316.0
SCA,316.0
SCA,324.0
SCA,322.0
SCA,318.0
SCA,316.0
SCA,325.0
SCA,315.0
SCA,322.0
SCA,316.0
SCA,317.0
SCA,316.0
SCA,318.0
SCA,322.0
SCA,323.0
SCA,316.0
SCA,318.0
SCA,318.0
SCA,321.0
SCA,317.0
SCA,319.0
SCA,318.0
SCA,323.0
SCA,316.0
SCA,316.0
SCA,322.0
SCA,322.0
SCA,322.0
SCA,315.0
SCA,316.0
PSA,317.0
PSA,324.0
PSA,318.0
PSA,316.0
PSA,324.0
PSA,323.0
PSA,318.0
PSA,315.0
PSA,322.0
PSA,316.0
PSA,316.0
PSA,316.0
PSA,316.0
PSA,315.0
PSA,316.0
PSA,323.0
PSA,321.0
PSA,316.0
PSA,318.0
PSA,318.0
PSA,327.0
PSA,323.0
PSA,322.0
PSA,316.0
PSA,324.0
PSA,324.0
PSA,320.0
PSA,316.0
PSA,316.0
PSA,322.0
PSA,323.0
GWO,322.0
GWO,324.0
GWO,316.0
GWO,316.0
GWO,316.0
GWO,323.0
GWO,324.0
GWO,316.0
GWO,323.0
GWO,321.0
GWO,315.0
GWO,322.0
GWO,323.0
GWO,316.0
GWO,313.0
GWO,318.0
GWO,323.0
GWO,316.0
GWO,322.0
GWO,316.0
GWO,315.0
GWO,322.0
GWO,318.0
GWO,318.0
GWO,322.0
GWO,322.0
GWO,322.0
GWO,316.0
GWO,318.0
GWO,322.0
GWO,316.0
GO,322.0
GO,315.0
GO,323.0
GO,318.0
GO,315.0
GO,322.0
GO,322.0
GO,321.0
GO,321.0
GO,316.0
GO,316.0
GO,316.0
GO,318.0
GO,318.0
GO,321.0
GO,322.0
GO,316.0
GO,322.0
GO,316.0
GO,322.0
GO,323.0
GO,322.0
GO,318.0
GO,321.0
GO,318.0
GO,318.0
GO,315.0
GO,319.0
GO,323.0
GO,322.0
GO,315.0
