MH,FITNESS
SCA,79.0
SCA,79.0
SCA,79.0
SCA,82.0
SCA,82.0
SCA,82.0
SCA,80.0
SCA,82.0
SCA,81.0
SCA,83.0
SCA,84.0
SCA,82.0
SCA,82.0
SCA,79.0
SCA,81.0
SCA,79.0
SCA,79.0
SCA,79.0
SCA,82.0
SCA,80.0
SCA,80.0
SCA,82.0
SCA,82.0
SCA,85.0
SCA,79.0
SCA,79.0
SCA,81.0
SCA,79.0
SCA,85.0
SCA,84.0
SCA,82.0
PSA,84.0
PSA,82.0
PSA,82.0
PSA,81.0
PSA,82.0
PSA,80.0
PSA,80.0
PSA,79.0
PSA,84.0
PSA,83.0
PSA,82.0
PSA,82.0
PSA,82.0
PSA,80.0
PSA,82.0
PSA,82.0
PSA,82.0
PSA,82.0
PSA,79.0
PSA,83.0
PSA,83.0
PSA,82.0
PSA,85.0
PSA,83.0
PSA,79.0
PSA,82.0
PSA,82.0
PSA,82.0
PSA,82.0
PSA,79.0
PSA,84.0
GWO,79.0
GWO,82.0
GWO,83.0
GWO,81.0
GWO,79.0
GWO,79.0
GWO,80.0
GWO,81.0
GWO,82.0
GWO,82.0
GWO,82.0
GWO,80.0
GWO,82.0
GWO,79.0
GWO,79.0
GWO,79.0
GWO,81.0
GWO,80.0
GWO,79.0
GWO,82.0
GWO,80.0
GWO,79.0
GWO,79.0
GWO,83.0
GWO,82.0
GWO,80.0
GWO,83.0
GWO,79.0
GWO,82.0
GWO,79.0
GWO,81.0
GO,79.0
GO,79.0
GO,81.0
GO,81.0
GO,79.0
GO,79.0
GO,82.0
GO,79.0
GO,80.0
GO,79.0
GO,79.0
GO,82.0
GO,82.0
GO,82.0
GO,82.0
GO,79.0
GO,84.0
GO,81.0
GO,82.0
GO,79.0
GO,79.0
GO,84.0
GO,84.0
GO,80.0
GO,82.0
GO,79.0
GO,81.0
GO,80.0
GO,79.0
GO,79.0
GO,79.0
