MH,FITNESS
SCA,174.0
SCA,172.0
SCA,174.0
SCA,174.0
SCA,178.0
SCA,173.0
SCA,175.0
SCA,178.0
SCA,176.0
SCA,176.0
SCA,175.0
SCA,175.0
SCA,177.0
SCA,174.0
SCA,179.0
SCA,175.0
SCA,175.0
SCA,175.0
SCA,178.0
SCA,175.0
SCA,173.0
SCA,175.0
SCA,175.0
SCA,177.0
SCA,176.0
SCA,171.0
SCA,174.0
SCA,174.0
SCA,177.0
SCA,174.0
SCA,178.0
PSA,179.0
PSA,175.0
PSA,173.0
PSA,170.0
PSA,172.0
PSA,176.0
PSA,178.0
PSA,179.0
PSA,176.0
PSA,181.0
PSA,179.0
PSA,178.0
PSA,168.0
PSA,176.0
PSA,173.0
PSA,177.0
PSA,178.0
PSA,179.0
PSA,178.0
PSA,172.0
PSA,178.0
PSA,178.0
PSA,174.0
PSA,176.0
PSA,180.0
PSA,176.0
PSA,174.0
PSA,176.0
PSA,178.0
PSA,179.0
PSA,178.0
GWO,174.0
GWO,173.0
GWO,175.0
GWO,177.0
GWO,173.0
GWO,177.0
GWO,178.0
GWO,175.0
GWO,171.0
GWO,178.0
GWO,173.0
GWO,175.0
GWO,170.0
GWO,174.0
GWO,174.0
GWO,177.0
GWO,177.0
GWO,174.0
GWO,177.0
GWO,178.0
GWO,177.0
GWO,176.0
GWO,174.0
GWO,173.0
GWO,174.0
GWO,177.0
GWO,177.0
GWO,174.0
GWO,177.0
GWO,173.0
GWO,174.0
GO,177.0
GO,172.0
GO,174.0
GO,174.0
GO,178.0
GO,173.0
GO,178.0
GO,173.0
GO,174.0
GO,176.0
GO,173.0
GO,174.0
GO,176.0
GO,173.0
GO,177.0
GO,175.0
GO,177.0
GO,178.0
GO,178.0
GO,177.0
GO,175.0
GO,174.0
GO,174.0
GO,173.0
GO,174.0
GO,176.0
GO,173.0
GO,179.0
GO,176.0
GO,174.0
GO,173.0
