MH,FITNESS
SCA,57.0
SCA,58.0
SCA,58.0
SCA,57.0
SCA,55.0
SCA,56.0
SCA,56.0
SCA,58.0
SCA,56.0
SCA,58.0
SCA,56.0
SCA,57.0
SCA,57.0
SCA,56.0
SCA,58.0
SCA,57.0
SCA,59.0
SCA,58.0
SCA,58.0
SCA,57.0
SCA,57.0
SCA,59.0
SCA,58.0
SCA,57.0
SCA,58.0
SCA,57.0
SCA,57.0
SCA,55.0
SCA,57.0
SCA,56.0
SCA,59.0
PSA,58.0
PSA,56.0
PSA,59.0
PSA,57.0
PSA,58.0
PSA,58.0
PSA,57.0
PSA,59.0
PSA,59.0
PSA,56.0
PSA,55.0
PSA,57.0
PSA,58.0
PSA,58.0
PSA,56.0
PSA,58.0
PSA,58.0
PSA,57.0
PSA,56.0
PSA,59.0
PSA,57.0
PSA,57.0
PSA,58.0
PSA,56.0
PSA,58.0
PSA,58.0
PSA,58.0
PSA,58.0
PSA,59.0
PSA,57.0
PSA,58.0
GWO,58.0
GWO,59.0
GWO,57.0
GWO,58.0
GWO,55.0
GWO,56.0
GWO,57.0
GWO,56.0
GWO,59.0
GWO,57.0
GWO,57.0
GWO,57.0
GWO,57.0
GWO,57.0
GWO,56.0
GWO,58.0
GWO,57.0
GWO,58.0
GWO,57.0
GWO,57.0
GWO,55.0
GWO,58.0
GWO,56.0
GWO,56.0
GWO,56.0
GWO,58.0
GWO,58.0
GWO,59.0
GWO,55.0
GWO,58.0
GWO,55.0
GO,56.0
GO,55.0
GO,58.0
GO,57.0
GO,57.0
GO,56.0
GO,57.0
GO,57.0
GO,56.0
GO,58.0
GO,57.0
GO,56.0
GO,55.0
GO,57.0
GO,57.0
GO,57.0
GO,56.0
GO,56.0
GO,57.0
GO,57.0
GO,56.0
GO,58.0
GO,55.0
GO,56.0
GO,56.0
GO,57.0
GO,55.0
GO,59.0
GO,55.0
GO,57.0
GO,57.0
